 	li	vestono	i	genitori	</S>
t	0.882932615	0.1109875715	0.005222164885	0.000815384825	4.2222260845e-05
u	0.779142105	0.1984539705	0.014256615295	0.002559307075	0.00558801945228
s	0.545948698333	0.426429236833	0.016894889765	0.00330845145833	0.00741873532409
i	0.344015976111	0.617239778944	0.024599076255	0.00443470891944	0.00971041194803
n	0.22009337537	0.736670042981	0.0283380434183	0.00442184597315	0.0104766355207
d	0.160861478457	0.81435979766	0.0172492878061	0.00369370349105	0.0038357156449
ì	0.201562716152	0.728738515887	0.0369323812687	0.00598272166368	0.0267836864816
n	0.159710636384	0.737004805296	0.0579304537562	0.00869369455456	0.0366604246605
n	0.137248986461	0.703495508432	0.0997214979187	0.0396399065182	0.0198940925535
o	0.11764144006	0.396293692844	0.322242645973	0.142470468839	0.0213517413512
n	0.04757566226	0.159706257648	0.607895705324	0.168048309613	0.0167740401471
e	0.02419307055	0.0804400371493	0.682641738441	0.203635349871	0.0090897967457
i	0.00809205317167	0.0270384879131	0.70037865948	0.25645129329	0.00803953674857
g	0.0418674965822	0.044686334901	0.70048195316	0.207721781097	0.00524249981619
e	0.0531239992681	0.0505183248893	0.44729671772	0.443150133699	0.0059108820054
n	0.0747412821634	0.107565123552	0.272189015907	0.537322301233	0.00818227866847
i	0.0819475596878	0.126577298654	0.204995403969	0.569123637078	0.0173560722228
t	0.0752387855293	0.120433647021	0.16777510999	0.615557075693	0.0209953614076
ò	0.0731525832198	0.119659029407	0.22210848333	0.455930618564	0.129149263136
r	0.0291914224499	0.0495964902023	0.173509395777	0.478868502855	0.268834167712
i	0.0144364821266	0.0250272527774	0.0871315939923	0.501596207618	0.371808439237
</S>	0.0072992030283	0.0126170404537	0.0452043280961	0.486574183809	0.448305204618
