 	che	non	li	aspettiamo	</S>
n	0.98311145	0.0088805725	0.007995003335	7.236776e-06	5.769406045e-06
a	0.715033673333	0.1798387985	0.0501486637783	0.02328094044	0.031697940253
m	0.424338831111	0.244157698167	0.258202521259	0.0310400831543	0.0422608808662
i	0.283233184704	0.136952041389	0.552437573753	0.0119803913924	0.0153967966372
t	0.196435025901	0.0926949197963	0.698774791251	0.00564503853747	0.0064502004924
u	0.151449778634	0.0512947859321	0.778186697084	0.0118973632525	0.0071713562108
s	0.0779973375447	0.0356270371107	0.864995565695	0.0139712863808	0.0074087726966
m	0.0745430505149	0.0168627948369	0.901420688565	0.00469324990027	0.00248023742203
ì	0.0510170009716	0.0144073699456	0.882320529522	0.0302910121101	0.0219641117042
n	0.0253993234572	0.0338499643152	0.849975943174	0.0512045340367	0.0395702405681
o	0.0149835372977	0.0354204005284	0.571731947725	0.336051114679	0.0418130151894
m	0.0123581125779	0.0185314375995	0.518894592575	0.41875431112	0.0314615622718
e	0.011484129616	0.0127817419098	0.497039688858	0.446873309933	0.0318211162993
</S>	0.005761653443	0.0064700625199	0.255747116429	0.684132654966	0.0478884931496
