 	qui	dentro	vuole	un	tappeto	</S>
e	0.9396958	0.0567140245	0.00169334235	0.000741528257	0.0003792076695	0.000776154906285
t	0.838565883333	0.144485123167	0.00567252821667	0.000888235985667	0.0096059894565	0.000782307124762
t	0.795902031111	0.183821989389	0.00687693413889	0.000512818311889	0.0126183797855	0.000267853953187
ù	0.592009952037	0.37389260813	0.0096106434463	0.00207312502063	0.00558847996183	0.0168252012067
m	0.208125061346	0.71295291271	0.0492151484821	0.00342044870688	0.00391358755394	0.0223728564189
è	0.0735413973153	0.84878321757	0.064438749494	0.00237698636896	0.00249734115131	0.0083622824563
s	0.0267439666384	0.75034343919	0.196349089831	0.00488041788965	0.0179662018504	0.0037168572021
a	0.0100255461095	0.40086680373	0.538690973277	0.0207305736299	0.0274618679501	0.00222423781737
t	0.0096218012665	0.154090297577	0.758739314426	0.0287702118766	0.04708521365	0.00169318224246
è	0.0095372556955	0.086907862859	0.784664678142	0.0627219879589	0.05101396355	0.00515425488415
l	0.0034112091785	0.0504762203863	0.817609142714	0.0901915093196	0.0315966141833	0.00671531679472
i	0.00125613450383	0.0182039277521	0.574382996238	0.368029719773	0.0328535367278	0.00527374926491
è	0.00042747940561	0.00702533570737	0.221787135413	0.703287673258	0.0537319355759	0.013740526755
n	0.00024065130187	0.00361304806912	0.112282765138	0.718784991086	0.150569525192	0.0145090740517
a	0.000182430306623	0.00155269352704	0.0515067939793	0.691331097029	0.234439105064	0.0209878931506
t	0.00101987870821	0.00067104872968	0.0179407131598	0.474326420676	0.483408828355	0.0226331277602
a	0.00129309059107	0.00036216764556	0.0063125403566	0.189131028559	0.790555602785	0.0123455769634
p	0.00943465111869	0.00123826110085	0.0027172171222	0.0877616935197	0.889788730928	0.00905942915447
p	0.0132815312062	0.00799267013362	0.0028468743074	0.0539288475066	0.918726190309	0.00322389849149
è	0.0055654291564	0.00921416842454	0.00722211126913	0.0734344548355	0.888222080103	0.0163417764372
t	0.0021497569398	0.00410820038818	0.0101761412564	0.0837250616118	0.878323510034	0.0215173662124
o	0.00101413824527	0.00232772846739	0.00629827011413	0.0522341953706	0.697284983345	0.240840744137
</S>	0.000516119070635	0.00117374294069	0.00320865410006	0.0272987049353	0.498117111673	0.469685722068
