 	non	ho	dove	d	andare	</S>
e	0.9875271	0.0053335831	0.005887086	0.000323130003	0.000581197875	0.00034794522995
n	0.6587073159	0.00973839003333	0.325406431333	0.003288860691	0.00250459995833	0.000354466699983
è	0.232992182533	0.136816978344	0.577076057111	0.0151075045637	0.00448254798611	0.03352475318
c	0.167866935511	0.206286017448	0.557503345704	0.0189235221879	0.0032739597687	0.0461462073933
h	0.150204906504	0.111403032149	0.691078148568	0.027383293396	0.00275610352957	0.0171745191878
o	0.0666349953347	0.145179995716	0.734587429523	0.0440512754653	0.00285303374319	0.0066932486526
p	0.0330913136116	0.161846010239	0.611364879841	0.184995400822	0.00571885664773	0.00298350942953
u	0.0237759555372	0.0823997350797	0.379191716614	0.472017033607	0.0334688322159	0.00914672882184
è	0.0224187095124	0.0662556183599	0.171302797205	0.642789757869	0.0485449987386	0.0486881272739
n	0.0193545391708	0.0518057037866	0.0868662094017	0.713993862623	0.0738263062462	0.0541533969246
a	0.00739213797127	0.0206754007355	0.0391163758772	0.512873107541	0.390328995415	0.0296139891415
p	0.00513834457142	0.0095280637185	0.0233579900357	0.198657715847	0.742213385138	0.0211044589338
à	0.00493035402381	0.00782382290617	0.0189696262119	0.130593505282	0.687712248379	0.149970399865
o	0.00220474701127	0.00471244290206	0.00725430602063	0.085976921994	0.674999036126	0.224852536622
</S>	0.00110870776064	0.00242060935103	0.00369367063531	0.045909346347	0.786397668063	0.160469993311
