 	quest	anno	che	viene	mangio	quanti	voglio	</S>
f	0.861936365	0.133930187	0.003194375565	3.4159905e-05	0.000199673265	0.00050503307	0.000198928095	1.26531822e-06
è	0.716954665	0.228009675667	0.00963148252167	0.006912192585	0.007400315265	0.00240532443667	0.00161494903167	0.0270714020084
o	0.423021668333	0.468952331889	0.0307625631739	0.011358068795	0.020233685755	0.00534400371222	0.00220302619056	0.0381246344361
p	0.205451669444	0.658100163963	0.0909278777246	0.00607724988167	0.0176311029183	0.00527049790407	0.00174654121019	0.014794871862
p	0.177408986481	0.683500787988	0.120818234242	0.00217538691389	0.00634462781277	0.00304261220136	0.0017173744034	0.00499196361833
ò	0.166051325494	0.682427795996	0.089588501414	0.0036054892413	0.00915738977759	0.00730653230045	0.00579327383447	0.0360696512538
r	0.0892372621647	0.529616655332	0.275741622138	0.00595933218043	0.0201725812592	0.0201290664335	0.0116635939448	0.0474798556179
k	0.0463538477216	0.303469325111	0.571819184046	0.00517577039348	0.0202190730864	0.0227022264778	0.0124722393149	0.017788319406
e	0.0279485145839	0.158119174904	0.654914218015	0.0811972466978	0.0485391136955	0.0131740134926	0.0082056828383	0.00790201663533
t	0.0120267956713	0.058521492168	0.750351819338	0.105943963899	0.0560988545652	0.00806536899753	0.00528669501277	0.00370503852844
e	0.00650443872877	0.0235107755093	0.601551553113	0.252793082966	0.103749404855	0.00627258449918	0.00410687482426	0.00151134421281
e	0.00220441073959	0.00804816820977	0.255862394371	0.426737270989	0.289866708285	0.0146910621664	0.00168941167809	0.00090058410427
t	0.0217228320382	0.0150524583233	0.316985761457	0.27942308033	0.309753169428	0.0500743507221	0.00643148047603	0.00055684422809
r	0.0593305793461	0.0761512194411	0.501806087152	0.106117945777	0.151790361143	0.091475643574	0.0129089786587	0.000419172942697
ò	0.051099793782	0.085609298947	0.358142402051	0.0668132909257	0.272349301714	0.134547377858	0.0147102927196	0.0167282521342
o	0.0172453418915	0.0299368076537	0.12163377296	0.0979292336419	0.540028433905	0.159968959286	0.0106548073065	0.0226026807114
p	0.020465723928	0.0269297060892	0.0610084802633	0.078654233894	0.423923510968	0.355999269762	0.0248317115022	0.00818742667047
ò	0.0215474328727	0.0259702430864	0.0415405097544	0.0572899986447	0.232075019989	0.551341106587	0.0533629501674	0.0168727646568
s	0.0076059840209	0.00915962005213	0.0171907721515	0.0507858566816	0.171632374663	0.631270152196	0.0906854013891	0.0216698042189
s	0.00445096197363	0.00777788131738	0.0131328042838	0.0179999114505	0.0707432277543	0.701365270732	0.174864153796	0.0096657363063
a	0.00299532374588	0.00687439134913	0.0093461486946	0.0115554862402	0.0326604141181	0.508278856911	0.347338877932	0.0809504630021
t	0.00441895886996	0.00618062535971	0.0106616938315	0.0098230879134	0.020709113706	0.290467815637	0.553410225977	0.104328453977
è	0.00488447305465	0.00594117109524	0.0111665198005	0.0210640911378	0.031101726902	0.191125938546	0.671542718659	0.0631733243023
l	0.00197207414955	0.00228994817375	0.00448005915683	0.0245296421126	0.0342298161673	0.116641696182	0.765055382886	0.0508013423008
o	0.00100904917652	0.00108266512892	0.00213435899228	0.0101980697709	0.0137996886224	0.0712358389273	0.656766460962	0.243773824967
</S>	0.00051880622826	0.00056411442096	0.00111674035614	0.00769364338545	0.0087679233612	0.0383075797636	0.482969930481	0.460061212483
