 	se	la	pasta	aveva	voluto	sale	lo	avevo	messo	</S>
s	0.334735485	0.60009235	0.04085871	0.0087453158	0.008124587	0.00187461061	0.000568287125	0.002094195223	0.00289229483	1.416081086e-05
i	0.255102965	0.669649266667	0.043855469	0.0141517362667	0.00891173033333	0.00207284730333	0.000661351821667	0.002382813741	0.00300680111	0.000205010652287
i	0.145603601667	0.807203122222	0.0192038129	0.0182285360889	0.00508283854444	0.00136482670111	0.000514333200556	0.00127959679367	0.00116224573667	0.000357071707429
p	0.0551268081223	0.606062160741	0.297994016867	0.027970481363	0.00605065628148	0.0012154013337	0.000467432613519	0.00155541644456	0.00333623434556	0.000221394643476
à	0.0201747586741	0.270584380247	0.554053138956	0.127812487121	0.0163045384272	0.00131272134457	0.000456760404506	0.00347747578152	0.00458188051519	0.00124185288883
s	0.0098118396247	0.149259732082	0.636470936319	0.172592754374	0.0210401034757	0.00185280321486	0.000688221168169	0.00370679456051	0.00281839127173	0.00175842251628
t	0.00648831190823	0.0618617198607	0.793012802106	0.104688610125	0.0173547374919	0.00361367683829	0.000740982822723	0.0038208301535	0.00764358612391	0.000774768552093
a	0.00641198533608	0.0251648211202	0.593314680702	0.276732010042	0.073177419164	0.00617715237943	0.000932507307574	0.00709618071783	0.0104960541746	0.000497205330698
ì	0.00566378851203	0.0120442092401	0.238244921234	0.487251036681	0.230088736388	0.0108041117931	0.00120541600252	0.00763224040594	0.00579747999153	0.00126804766357
c	0.00720580590401	0.0068590397467	0.112476448078	0.59549526556	0.257242642129	0.0111120435977	0.00111033356751	0.00444516003531	0.00273968706384	0.00131356785452
h	0.008555840568	0.00494800621557	0.111441826026	0.663065171853	0.182035257376	0.0135811795326	0.00118130555584	0.00494001207844	0.00978046128795	0.00047093612084
e	0.003817798758	0.00218215621852	0.0835137716753	0.475030070618	0.395909379125	0.0168351371775	0.00151109861861	0.00782954535948	0.0130914566627	0.000279582592947
t	0.001602866288	0.00129809741951	0.0290952044251	0.287386606873	0.634883626375	0.0197304440592	0.00571242587287	0.0100690337865	0.0100150154542	0.000206687613816
e	0.000892034439333	0.000991028822503	0.0104502221417	0.180255880958	0.554787118792	0.219782415353	0.0118832859576	0.0122673009288	0.00854281448473	0.000147913837439
l	0.00121135755644	0.00151978465683	0.00511270718057	0.093919348986	0.545500149597	0.289755144118	0.0218170953192	0.0218405963096	0.0191814974949	0.000142340545813
ì	0.00130651943215	0.00170989367361	0.00353127132686	0.0647783469953	0.674875083199	0.182646210373	0.0217232760064	0.0264673474365	0.0225083958983	0.000453637115271
s	0.00115062265738	0.00081895634587	0.00483877237562	0.0556617163318	0.658201647733	0.221310200124	0.0218959795688	0.0179600388122	0.0149549200328	0.00320711193842
o	0.00105016550479	0.000498406296957	0.00507593052854	0.0496612060839	0.413775257244	0.316421866708	0.16692501319	0.0237898982707	0.0180812180109	0.00472099581281
n	0.000928735387263	0.000707605980652	0.00254956864618	0.0226229603346	0.182568350415	0.346742588903	0.36260922773	0.0546157724236	0.024074533337	0.00258062633427
t	0.00100203652909	0.00151034009355	0.00399902774873	0.0212559461115	0.140773270138	0.228061250968	0.387580749243	0.141546539475	0.073369833779	0.000900994114757
a	0.000463415905697	0.00124400040768	0.00366829131624	0.0148757985172	0.0929758443793	0.133163098323	0.505965639748	0.158527048492	0.087783478593	0.00133334947825
à	0.000166307365899	0.00042041134006	0.00125648201541	0.00517421418573	0.0397852907931	0.245131719441	0.491084626583	0.171268778164	0.0427260151977	0.00298612695942
l	0.0003943355233	0.000240957994353	0.0011088534818	0.00443326726191	0.0270160985977	0.31323164648	0.439215908861	0.181928929388	0.0293105200659	0.00311946411981
a	0.000472518124433	0.000183161205784	0.0010625944136	0.00401709670064	0.0156475914126	0.18162245816	0.63399312962	0.123458103129	0.0357755466886	0.0037678137066
t	0.000358247104811	0.000548387756261	0.00113428875753	0.00307665294688	0.0063820895842	0.07922554272	0.664831893207	0.19306538771	0.0479599755629	0.00341757986553
o	0.000317384297604	0.000669113344087	0.00115302355368	0.00274957265763	0.00317392925807	0.03404791624	0.574139614402	0.260365499237	0.120287541854	0.00309644611851
ì	0.000110485674635	0.000227728864262	0.00038846842796	0.000985129437877	0.00147764454936	0.0309508287467	0.389234039801	0.363324963079	0.204010993951	0.00928972957284
c	0.000812146417645	0.000226078422321	0.000347884384887	0.00273643845596	0.00243865088312	0.0448434835822	0.312631898267	0.439943411026	0.186508841317	0.00951116061095
h	0.00141170317255	0.00143796315077	0.00213636746163	0.00457862581865	0.00477832086104	0.0352032090274	0.284005936089	0.491068743675	0.172086717106	0.00329242823365
a	0.00083815903845	0.00169349080037	0.00258711947721	0.00284706966522	0.00403002771868	0.0130391540425	0.136972744363	0.472531237892	0.357782802369	0.00767818435455
v	0.000318134245417	0.0020329161169	0.0147356695824	0.00522677028074	0.00941421483789	0.00521250718083	0.0751350737877	0.385032649297	0.493589617456	0.00930241142818
à	0.000149581143472	0.0021465151974	0.0187250617701	0.00604488245191	0.0113188808793	0.00457157282694	0.0457487332626	0.324959466432	0.577436579152	0.00889873345273
l	0.00439535192449	0.0022179111909	0.00863240416603	0.00449006030897	0.00493305632643	0.00760783407565	0.0324974864209	0.227103842144	0.685438759717	0.0226833341509
o	0.00580697935783	0.00224185524793	0.00529209199201	0.00396010574632	0.00268309548881	0.00752728852522	0.0295138394736	0.145719267715	0.705389833239	0.091865698717
n	0.00274795756894	0.00667933946694	0.0139969932673	0.0203889840921	0.00859839044294	0.0105847083417	0.0222559371579	0.140451169572	0.67220339108	0.102093176906
t	0.00194272150298	0.00982667815565	0.0213966009224	0.0316048196974	0.018091345481	0.0212139091139	0.0259415707193	0.239835299857	0.594696987027	0.0354500550287
a	0.000869787373327	0.00495355959055	0.0121651672408	0.0163067127911	0.013633090737	0.0182589527046	0.0207141822398	0.190644068786	0.493582335676	0.228872110403
</S>	0.000443549125164	0.00249019510328	0.0068310867704	0.00817762823355	0.0069004767335	0.0097403838523	0.0137907566199	0.098347037643	0.413457542838	0.439821330201
