 	non	mangiare	la	sera	</S>
m	0.72419361	0.2255659275	0.0199121421	0.0303242107	4.11497735e-06
i	0.439309826667	0.490993549167	0.0234923640333	0.0459648435667	0.000239400347683
f	0.218697354222	0.617951873056	0.0227191913444	0.140303268856	0.000328310685894
a	0.107087438407	0.678406161019	0.0402553024481	0.173078492952	0.0011726000453
i	0.042638919969	0.767010233673	0.0770813161494	0.111682692651	0.00158683457177
o	0.0165966115563	0.624080037891	0.156613955383	0.201780089217	0.000929320927257
v	0.0408418745854	0.408383205964	0.264056855128	0.286046129739	0.000671944655752
r	0.0514127288618	0.261823523655	0.363581725043	0.322737079913	0.000444960811917
à	0.0513502356206	0.261005706218	0.390492801681	0.275685506638	0.021465752064
i	0.0477585055402	0.227878603406	0.53908748056	0.156614278879	0.028661155308
</S>	0.0241074882701	0.124966638703	0.70805464028	0.128086859439	0.014784444584
