 	le	canzoni	più	belle	sono	scritti	nella	notte	</S>
t	0.58208528	0.3729936	0.0281215012	0.0140219535	0.00051172198	0.000311820097	0.001267191764	0.000673809079	1.3090337715e-05
a	0.50133818	0.430840556667	0.0313409955667	0.0314948495	0.00162334902667	0.000361496572333	0.00160442285467	0.000765798479667	0.000630331989572
t	0.421372873333	0.518340575556	0.0238612413556	0.0306062195	0.00182760950889	0.000383907694111	0.00145264501822	0.00132272047989	0.000832195081857
r	0.244918457778	0.713756891852	0.0219037367852	0.0150250515	0.000821230736297	0.00038692059137	0.00141839693941	0.0014823609733	0.000286938552286
a	0.180024585926	0.782378743951	0.0198750895951	0.0150035761667	0.000687566678766	0.000212501467123	0.000921892089803	0.000608743024433	0.000287317340429
v	0.121433682975	0.822146061317	0.037711120865	0.0146851080556	0.000581129882922	0.00112733144237	0.00124077403993	0.000785052228144	0.000289756828476
ù	0.0707472319917	0.865055063772	0.043146883955	0.0145498160185	0.00102935255097	0.00152699801412	0.00156039358998	0.00101088216605	0.00137335234116
d	0.0538755906639	0.836121764591	0.0773671236517	0.0184306650062	0.00317324231699	0.00145009080471	0.00414834007333	0.00256205737868	0.00287109298039
i	0.037893558888	0.55039564353	0.304760301217	0.0831163796687	0.00827311040566	0.00153598211824	0.00533696685778	0.00362342102623	0.00506460349346
a	0.0161732762293	0.214090728343	0.596401967072	0.147206236556	0.0145767243019	0.000860004332747	0.00342139405259	0.00215913252208	0.00511051356449
p	0.00850621767643	0.0867187646143	0.735743155691	0.128551925519	0.0129402089006	0.00433776955425	0.0099585702842	0.010935949454	0.0023073943315
l	0.0592766102255	0.105400754871	0.682773118564	0.093315614173	0.00628527686687	0.00792393758475	0.0241505444281	0.0199380424847	0.0009360540305
è	0.0950474534085	0.12420534829	0.572502306188	0.122925347058	0.016742005389	0.00775980926158	0.0238561128094	0.0227805171616	0.0141811188535
o	0.0533406649862	0.0655563127467	0.579085068729	0.217686812353	0.0272907977963	0.00565045315386	0.0128273048365	0.0185707195539	0.0199918726178
n	0.0198818346121	0.0274200402322	0.56692363291	0.316885780784	0.0217020785988	0.00671000811795	0.0145094028455	0.0178221983513	0.0081449764326
ò	0.00927303493737	0.0154930367441	0.395657737637	0.486567036928	0.0444654461996	0.00737969213932	0.0144138796152	0.0174686159838	0.0092814467042
r	0.00724448694579	0.00771583324803	0.234364912546	0.531057365643	0.0870170987332	0.0633189028131	0.0327428672051	0.0181074435279	0.0184310479014
r	0.0200963366486	0.0411972080827	0.153780052515	0.380921435214	0.0925377829111	0.111131150938	0.134528749068	0.049292506176	0.0165147497338
i	0.0208632082895	0.0507723227409	0.0756616638383	0.287870231738	0.21649779097	0.112898553646	0.150598169023	0.0719253007253	0.0129127116779
a	0.00698881054483	0.016978517621	0.0285897059128	0.240090827246	0.482703180323	0.093708693882	0.0707189400077	0.0495277001084	0.0106935939593
è	0.00233961599294	0.00567756260767	0.0107811647709	0.161722042415	0.694658573441	0.0501091709607	0.0481101376692	0.0199403741361	0.00666134181977
r	0.00115460806731	0.00223028770922	0.00471376675697	0.0802121494717	0.61664430448	0.21558610732	0.0600796292231	0.014031843612	0.00534730900659
k	0.0021820719891	0.00791669466974	0.00309682991899	0.0367179458239	0.357174924827	0.342398395773	0.172890613074	0.0751531038707	0.00246945143553
u	0.00216568167637	0.00949317507825	0.00259874910633	0.019456340608	0.228074894942	0.399890291924	0.216163854358	0.115717504624	0.00643954794518
t	0.00135784323879	0.00381558208108	0.00141681240211	0.00883657510267	0.161194921647	0.563660263975	0.176071418119	0.076013288208	0.00763333350439
t	0.00220834274626	0.00647130756036	0.00138929986737	0.00553867983422	0.0905487798823	0.548338071325	0.27229433604	0.070643852736	0.00256734274946
e	0.00187150236975	0.00672406895912	0.00132021116579	0.00403628594474	0.0483350906274	0.574334753775	0.286677502013	0.071199358912	0.00550121330849
g	0.00194520644425	0.00565765975871	0.0011340520986	0.00247738531491	0.0290070927091	0.639931864592	0.248935277338	0.0644298909707	0.00648156034516
r	0.00272801978142	0.0086056832529	0.0017857575662	0.00313903747164	0.0151015810697	0.485454288197	0.404655552446	0.0763460203236	0.00218407375605
a	0.00167622454181	0.00618159914713	0.0014913991254	0.00270839840055	0.00887909925657	0.449983862732	0.430801617482	0.0793426034412	0.0189352103173
m	0.000967197228603	0.00312803204521	0.000909813445133	0.00150570751018	0.00618464631886	0.591109540911	0.296199012494	0.0754652864804	0.0245307641418
m	0.000744126008868	0.0021327480634	0.000728047565044	0.00147115037006	0.00555467927295	0.69626888697	0.228660324165	0.0562414191601	0.00819859524293
è	0.000265949012123	0.000738991009333	0.000338381948348	0.00102230794002	0.00526686659098	0.62185543899	0.264277021388	0.0952100013867	0.011024996574
n	0.000314418880541	0.00273062287631	0.000899781426116	0.00107133876334	0.00742491453033	0.40286948633	0.380720697129	0.179723577129	0.0242451041913
a	0.000366102323514	0.00344070906877	0.00170717580871	0.00197300702111	0.0105169838434	0.25852170211	0.373299379043	0.286623929043	0.0635509300638
s	0.000964619271171	0.00367452346626	0.0017750005029	0.00216708694037	0.00803903328113	0.171081864037	0.410537283014	0.337343503014	0.0644170526179
i	0.00114304597806	0.00371794214875	0.00125513962763	0.00146312725679	0.00412595226038	0.114422686346	0.414097161005	0.383312421005	0.0764625168026
n	0.00143425891369	0.00230914670958	0.000740468935877	0.00086191341893	0.00235820192013	0.0894126704487	0.316966120335	0.505218307002	0.0806988900175
ì	0.0015174294749	0.00182873159936	0.000507851695292	0.00076788071631	0.00651661364004	0.0603912764829	0.240653123445	0.652842419001	0.0349746744225
t	0.00109371276197	0.00145729196262	0.000572961048431	0.000841280325437	0.00843393621335	0.0654697984943	0.217833614482	0.676384889667	0.0279125248075
t	0.00170875235399	0.00407053072087	0.00176616278281	0.00246684374181	0.00694832373778	0.0761084921648	0.310519501494	0.578594463222	0.0178169319258
a	0.001357445093	0.00415140179362	0.00207396831094	0.00293354943394	0.00569438971259	0.0466347247216	0.259148220498	0.469515261074	0.208491034299
</S>	0.000724847159	0.00215971572681	0.00146194513047	0.00186317249697	0.0033056865563	0.0363364193608	0.162568580249	0.383608040537	0.407971592149
