 	vengono	vestiti	</S>
è	0.834734775	0.0899008165	0.075364376873
r	0.745281288333	0.1754724255	0.079246268291
k	0.538964586111	0.430377175167	0.0306582211637
u	0.243886267904	0.743513058389	0.0126006823879
t	0.0854622055013	0.908253602796	0.00628422862597
t	0.0399472108338	0.957871394265	0.00218140540199
e	0.0214987360679	0.967247191422	0.011254040764
n	0.012246015146	0.973472647141	0.0142812951813
d	0.0143993060487	0.98034456238	0.00525609182043
i	0.0106753698829	0.93708136746	0.0522432537735
m	0.00421886328097	0.928187422487	0.0675937313578
è	0.0215154638803	0.858123707496	0.120360833886
n	0.0556764436268	0.523454517832	0.420869064629
a	0.0480102713756	0.222715636277	0.729274134876
</S>	0.0253783809378	0.151116090639	0.823505567438
