 	l	ha	scritta	</S>
t	0.93534455	0.0602417535	0.00440491618	8.77843787e-06
o	0.667493496667	0.3237028165	0.00799449172667	0.00080922345029
è	0.314256187556	0.6532182055	0.0170728662422	0.0154527316168
g	0.154957837852	0.7462991685	0.0791064747474	0.0196364750856
r	0.086311004284	0.618037702833	0.288996488249	0.0066547618512
a	0.0441654335947	0.337462405944	0.610060596083	0.00831154555973
t	0.0158501282649	0.129235124315	0.846053948694	0.00886081249258
s	0.0119236999883	0.0715039004383	0.913612932898	0.00295944080703
e	0.00994547727943	0.0503826564794	0.932118610966	0.00755320027251
</S>	0.00513743356471	0.0277543202397	0.953485455483	0.0136227471363
