 	non	li	aspettiamo	più	</S>
e	0.9316845	0.06226959	0.0014147703175	0.0026796044	0.0019515128497
t	0.614843304	0.369902313333	0.0014969562125	0.0117959004667	0.00196150914823
u	0.241166705333	0.737396871111	0.0028359690775	0.0145117444889	0.00408869244774
s	0.115073341111	0.864233567037	0.00329288162583	0.012606448163	0.00479375798758
m	0.0474584253703	0.938152499012	0.00122813663528	0.0115563730543	0.00160453926436
è	0.0278502497901	0.914047066337	0.0245758070384	0.0214703603514	0.0120564598516
n	0.0236699395967	0.814422288779	0.0549118823461	0.0871798041171	0.0198160404505
u	0.0170422640322	0.506774264826	0.266315304115	0.193872704706	0.0159954729835
m	0.0206826315107	0.270119936842	0.316930203372	0.381801978235	0.0104652778002
e	0.0214983814036	0.190558460391	0.135407696457	0.645139102745	0.00739635740573
p	0.0105509713679	0.107516581574	0.074404694919	0.801084844248	0.00644289748524
l	0.0142477867893	0.130721373858	0.028819431173	0.823937948083	0.00227346582341
è	0.0190018925964	0.108840819953	0.0386131191577	0.755731149361	0.0778130585861
o	0.0131874540521	0.0505739563343	0.0935788517192	0.714438549787	0.128221239529
</S>	0.00663303080605	0.0253861396921	0.12700837586	0.738963974893	0.102008519764
