 	vado	vestito	</S>
i	0.9807255	0.01710711	0.00216733616212
p	0.6513120348	0.346498901	0.00218902093404
à	0.5173388664	0.476709563667	0.00595154869135
o	0.490509906467	0.483596217889	0.0258938662304
n	0.184474526489	0.788160905963	0.0273645620621
d	0.0683985234963	0.922439935321	0.00916157023103
i	0.0290080891654	0.935032945107	0.0359589906353
m	0.0101580888218	0.944961305036	0.0448806193891
è	0.0088835540406	0.944297711679	0.046818757307
n	0.0262145053469	0.90095069056	0.0728348024357
o	0.0272944659156	0.606301251187	0.366404277479
</S>	0.0147645861578	0.326908307093	0.658327123739
