 	e	che	cucino	</S>
c	0.98943818	0.0105417707	1.84966185e-05	1.541868e-06
e	0.967738276667	0.0282924192333	0.00290425383917	0.0010650582114
p	0.727010065556	0.267495634078	0.00403889860306	0.0014554301538
u	0.357735580852	0.501730744693	0.105847534191	0.0346861442679
m	0.172713535951	0.641903381564	0.139646297237	0.0457367703936
a	0.092767785417	0.657636020521	0.212240071586	0.0373561224355
r	0.050735694239	0.672623913507	0.241167375195	0.0354730020452
è	0.100118420413	0.663497484502	0.157900993065	0.0784830985817
o	0.0985979661777	0.365387168167	0.429344491022	0.106670407527
</S>	0.0494249871488	0.204456894084	0.670625960511	0.0754921857635
