 	ho	cosa	a	fare	</S>
è	0.342408125	0.59124985	0.030264573	0.0194067514	0.016670670645
c	0.310893253667	0.627262423333	0.0257568277333	0.019368094017	0.0167193744483
h	0.133362954222	0.826609097778	0.0275460329778	0.00678436638933	0.00569753983943
o	0.140708655741	0.813758365926	0.0403666996593	0.00300812256311	0.00215813859314
t	0.15454675858	0.644466321975	0.19854858322	0.00151412175437	0.000924177707047
i	0.0937397381933	0.367619360658	0.462978194407	0.0664713882181	0.00919132155502
k	0.0585267720644	0.151553663553	0.687771531469	0.0901897768727	0.0119582658017
à	0.0382568093548	0.0607189981843	0.55350349949	0.0776917530909	0.269828939884
i	0.0168399349516	0.0236963841281	0.207105835163	0.325731947697	0.426625883295
</S>	0.0095093882258	0.0123557886641	0.114136487081	0.544407073849	0.319591221647
