 	non	sono	andati	</S>
e	0.972169825	0.0216256055	0.005264964	0.000939626085
n	0.658064002667	0.270772871833	0.070210586	0.000952566664333
è	0.242734478556	0.622348913944	0.110648018667	0.0242685981241
c	0.111267476185	0.796314337981	0.0594301054223	0.0329880671414
h	0.0753461677283	0.83814863266	0.0742312176741	0.0122739585038
u	0.0419573891094	0.54982670222	0.401066339225	0.0071495415246
n	0.0326016119031	0.206002596407	0.756259346408	0.00513645652753
e	0.0290962415344	0.0850094750223	0.873598072136	0.0122962585285
p	0.0170352710781	0.0327166495608	0.935567814045	0.0146803275745
a	0.0130766438594	0.0152249896536	0.929192871348	0.0425055232565
m	0.0060532131198	0.0065231262512	0.935633590449	0.0517900970355
è	0.0040581961066	0.0091384866504	0.872533796816	0.114269574962
n	0.00409914176887	0.0297437208835	0.699635132272	0.266522038321
a	0.00354018447629	0.0312137267612	0.448393594091	0.516852532774
</S>	0.00207368706814	0.0160639780806	0.278584472046	0.703277916387
