 	si	è	rotta	la	coppa	</S>
e	0.90380633	0.0931536995	0.000619367052	0.0008849461405	0.000518866287	0.00101673868322
g	0.599674838	0.148258969833	0.218000567651	0.00223881504683	0.0307949311957	0.00103184932441
l	0.261574304	0.243762763278	0.448383069217	0.00353843728228	0.0423784868319	0.00036291953747
à	0.146645154667	0.243035224426	0.541345636406	0.0102642053608	0.0429208687106	0.0157889006118
s	0.0764238392223	0.115983259142	0.732483678802	0.0119450990203	0.0421921272369	0.0209720249106
t	0.0323028267408	0.055002624714	0.853161482934	0.0104796735734	0.0419860634123	0.0070673577702
i	0.0149364632469	0.0272862714713	0.611713884311	0.293517444524	0.0474522614708	0.0050937231834
e	0.00596763234897	0.0121532389571	0.241980015537	0.707363791508	0.0274987721569	0.00503658186113
c	0.00827841771632	0.015471742219	0.306541375946	0.615303037169	0.0520901033856	0.00231532487838
ò	0.00940676830544	0.0163750239063	0.342163110315	0.26643974939	0.359238005795	0.00637733258413
p	0.00529577693515	0.0081753193021	0.239188645105	0.123101143463	0.614873285265	0.00936582779471
p	0.00377568514505	0.00530377423403	0.208433426368	0.075013711821	0.702086528422	0.00538687249824
a	0.00171067523835	0.00237913054468	0.088730896756	0.086648344607	0.665827699474	0.154703255466
</S>	0.000944237304175	0.00131695452234	0.044794373328	0.125823817304	0.521347259737	0.305773377733
