 	lo	sentii	che	viene	</S>
t	0.97224053	0.00187382747	0.025542099025	0.0002651615972	7.844335226e-05
o	0.90044149	0.03851339689	0.0530057830083	0.0046445800324	0.00339482660742
n	0.832450743333	0.0594850842967	0.0976484876694	0.0059516084508	0.00446412356147
ì	0.593665501111	0.118514040099	0.131947859223	0.0558730065903	0.0999996125462
k	0.550308207037	0.145241380033	0.0973855914077	0.0728386042301	0.134226247182
u	0.491404478112	0.332682260011	0.101353278803	0.02621768691	0.0483423795273
s	0.180541358471	0.39683144767	0.394924936268	0.0103737999467	0.0173285668034
a	0.0764346982237	0.16918411689	0.711740145423	0.0354870308256	0.00715406026213
n	0.0373416428079	0.07814963663	0.836697881808	0.0439973190885	0.00381352277404
a	0.0240497795026	0.03262472021	0.639510033936	0.29834124851	0.00547418877801
r	0.0570638570675	0.02026672807	0.531998464645	0.383553812903	0.00711707379267
t	0.0982422690225	0.0209984193567	0.746930101548	0.129363068101	0.00446608976422
i	0.0631209413508	0.0394430021189	0.655437233849	0.1949037631	0.0470950312214
</S>	0.0317685331904	0.0565579360595	0.497347616925	0.32378149155	0.0905444006107
