 	devo	pulire	l	albero	</S>
è	0.088022319	0.846763325	0.02564496	0.00369673525	0.0358726866786
n	0.0872108463333	0.830936758333	0.0334627726667	0.0116408463167	0.0367487690262
a	0.0886525121111	0.854560352778	0.0298245445556	0.0134680614389	0.0134944818421
k	0.0898722927037	0.757403567593	0.0975706291852	0.050249600813	0.00490387133237
a	0.0631777745679	0.748787939198	0.122970657062	0.0627734891377	0.00229013009579
t	0.051173071456	0.676707599733	0.237915939687	0.0328026835792	0.00140071578726
à	0.0434208554187	0.571432639911	0.332031559896	0.0276309178597	0.0254840183844
r	0.0683631718062	0.555282766637	0.292105679965	0.0383538689532	0.0458944987948
o	0.0780261406021	0.340430077679	0.480975683322	0.0690192576511	0.0315488565983
t	0.0532664012807	0.115914527026	0.749481877774	0.0669454105504	0.0143917998328
o	0.0246561555069	0.0397068620253	0.832131175925	0.0978270681835	0.00567874291093
n	0.015333542569	0.0143645480584	0.804516191975	0.162882489394	0.00290323219031
à	0.032450140923	0.00920495638613	0.617129860658	0.300700393131	0.0405146722834
r	0.0508263719743	0.00946725712871	0.371565650219	0.493133231044	0.0750075040945
b	0.0322651808248	0.00669677807624	0.245905030073	0.667936330348	0.0471966993415
u	0.0143829212083	0.00289344818375	0.121953697791	0.803765530116	0.0570044310905
r	0.00763189516943	0.0454400871863	0.100943313697	0.785678176705	0.0603065490835
o	0.00878888105648	0.0597339289621	0.0951705974323	0.657919872235	0.178386745081
</S>	0.0117619960282	0.0300685293311	0.0513276280161	0.580395156118	0.326446712541
