 	i	bambini	non	si	vestono	da	soli	</S>
t	0.990611255	0.00655427855	0.001260694025	0.000588347865	0.000498219265	0.00027076945	0.0002104693575	5.93920545e-06
a	0.984762635	0.0103273468833	0.002668641225	0.000987393521667	0.000489690918333	0.000328780476667	0.000217357125833	0.000218136050817
p	0.953586011667	0.0118201302611	0.00414029334167	0.00239233554056	0.0112072425528	0.00239217448556	0.0140889838153	0.000372821003606
e	0.913420803889	0.0238588177204	0.0169404670472	0.00573987311352	0.0158921655176	0.00357534189519	0.0188312642318	0.00174125146787
t	0.912623847963	0.0303915019068	0.0229547700157	0.00753299303784	0.00993086717253	0.00297114756506	0.0114249823706	0.00216986543596
ì	0.685386309321	0.172061553302	0.0424799233386	0.0267436410126	0.0103241870575	0.00645875025502	0.0104379191235	0.0461076885587
a	0.30121801544	0.298918027767	0.174861332446	0.113377400338	0.0219649543525	0.0158245627517	0.00597234330783	0.0678633818529
e	0.107837427147	0.263660709256	0.371411210815	0.181131896779	0.0266001807842	0.0162642399172	0.00298640986261	0.0301079563843
n	0.067992802049	0.176550413085	0.394518316938	0.22448870226	0.0932383782614	0.0105815466391	0.0219208044475	0.0107090576614
i	0.0547783841497	0.0822825103617	0.391516638979	0.30237033742	0.128112136087	0.00844773511303	0.0282818020492	0.00421048158713
n	0.0791890381832	0.0488915097872	0.314661572993	0.306398125807	0.194493185362	0.0143852716043	0.0396258689164	0.00235542922904
d	0.136369509394	0.0330778975957	0.126571142331	0.253609331936	0.363668835121	0.0250392135348	0.0581637329721	0.00350031797635
ì	0.0973198541313	0.0313318711986	0.0710559721103	0.227706417312	0.469533278374	0.0415813121783	0.0411483869907	0.0203228834588
n	0.0364226276104	0.0199225897662	0.0511223020368	0.269487112437	0.519876476125	0.0511601220594	0.0235466989969	0.0284620578196
n	0.0354539857701	0.00805712192207	0.0280563346789	0.224963850812	0.498393175375	0.0673065586865	0.104674616999	0.0330943216065
o	0.0337925865534	0.0101956209407	0.0243155842263	0.121301378271	0.430541501792	0.183223989562	0.156535762333	0.0400935258688
t	0.0150127808145	0.0109745856136	0.0230269115088	0.0802393440903	0.491607887264	0.221904679854	0.133796287444	0.0234375124263
t	0.0126048606048	0.00676196770453	0.00964787193627	0.0405008650301	0.579531505755	0.138396833285	0.204634139148	0.00792194167877
e	0.00814601007827	0.00852216610151	0.0100169459788	0.0319042186767	0.419037005252	0.235047441095	0.272617636383	0.0147085662929
m	0.00330308786942	0.0070611584005	0.00944661292293	0.0244615862922	0.327160171751	0.295267997032	0.316383628794	0.016915788326
a	0.00166055139814	0.00287387230017	0.00364074520431	0.0113395759974	0.267624500584	0.229434235677	0.475157802931	0.00826873900367
n	0.00736263760771	0.00282337623339	0.00187194320144	0.00647520973247	0.144766440195	0.160950663559	0.670126417644	0.00562329298456
e	0.0092689657699	0.0035590710778	0.00224884606715	0.00541318504416	0.095299557065	0.101905112853	0.763531189215	0.0187740576449
c	0.00311348207063	0.0022800981246	0.00214952998672	0.00449974098139	0.044995043355	0.170713170951	0.749196949738	0.0230519750383
h	0.00105343304388	0.0008414201002	0.000803337526573	0.0023685156938	0.0346117111183	0.162195543984	0.790282053246	0.00784395837843
à	0.000368213497627	0.000801969860067	0.00145150324219	0.00270006303127	0.0255692220394	0.0758316129947	0.876262734415	0.0170146503351
t	0.00460653320854	0.01802076682	0.0116387480807	0.0139465581771	0.0365475363465	0.0599785679982	0.818404678138	0.0368566221117
u	0.00601373133085	0.0233973761333	0.0140707322869	0.0168997263924	0.0354612086155	0.0581309083327	0.638687169379	0.207339186037
</S>	0.00302063055743	0.0118328388567	0.00726183553345	0.0091625486962	0.0184259540578	0.0562445041664	0.522997799689	0.371053913018
