 	mi	sono	vestito	</S>
a39	0.59239054	0.106467634	0.19972071	0.10142113
a11	0.80688983	0.021187171	0.13405754	0.03786552
a13	0.6810691	0.046730243	0.20143582	0.07076487
a18	0.71288586	0.051794194	0.16264503	0.07267496
a31	0.7684432	0.053735677	0.11253717	0.06528402
a37	0.7906029	0.055939965	0.08749147	0.06596558
a15	0.72117525	0.07203279	0.11184615	0.094945826
a31	0.57608026	0.0923514	0.16604488	0.1655235
a46	0.3765478	0.15533392	0.22701919	0.24109909
a31	0.28826	0.2224393	0.24217305	0.24712768
a20	0.26057398	0.24180642	0.24781153	0.24980806
a31	0.2524353	0.24871355	0.24937053	0.24948063
</S>	0.25094265	0.24953334	0.2497438	0.24978016
