 	non	vuole	mangiato	mangiato	tutta	una	volta	</S>
a31	0.179474	0.18024358	0.09880977	0.13200586	0.03688128	0.059765626	0.20784281	0.10497704
a39	0.11411857	0.13018925	0.054303404	0.11057945	0.016354911	0.027081847	0.4791018	0.06827073
a41	0.13170731	0.17075552	0.042957112	0.10124977	0.0130108185	0.022616502	0.47500557	0.042697452
a39	0.13101546	0.17303884	0.026323227	0.05006286	0.014323815	0.017080607	0.5699226	0.018232465
a20	0.108628854	0.14942501	0.024827996	0.04476867	0.014309762	0.016295398	0.6246385	0.01710582
a0	0.09431691	0.13011481	0.027098566	0.04762579	0.019454759	0.022546027	0.63278455	0.026058637
a31	0.10537139	0.1329051	0.0438679	0.066480495	0.036175776	0.045230094	0.51493496	0.05503431
a13	0.06595881	0.08862295	0.04973682	0.082536936	0.043243326	0.055942945	0.5326144	0.08134377
a17	0.08051256	0.0958654	0.0791207	0.12166693	0.074012995	0.08565564	0.30981776	0.15334806
a31	0.08924969	0.09607685	0.0899495	0.12317339	0.08761162	0.093142346	0.25052258	0.17027402
a3	0.10459099	0.106239766	0.10365176	0.11556782	0.10304282	0.10438953	0.22019564	0.14232166
a46	0.11905992	0.1194462	0.118939504	0.12210297	0.11880283	0.119080335	0.15432724	0.12824099
</S>	0.12290737	0.123024754	0.12288599	0.12387262	0.12284428	0.12293475	0.13542582	0.1261044
