 	non	ti	dimentichiamo	mai	</S>
a8	0.24320456	0.3441124	0.28838775	0.062315762	0.061979514
a31	0.09376037	0.38033476	0.48016626	0.025152726	0.020585887
a20	0.104814865	0.35017702	0.45926335	0.048749156	0.036995646
a31	0.16251999	0.3283816	0.44182697	0.035407383	0.031864047
a13	0.12176208	0.3863425	0.46855178	0.01307551	0.010268174
a31	0.11873715	0.35571572	0.504638	0.010991486	0.0099176
a13	0.19234939	0.38440412	0.40762097	0.010048178	0.0055773603
a1	0.09670843	0.42500263	0.464883	0.008249734	0.00515632
a31	0.06362584	0.39083883	0.52318764	0.012294828	0.01005283
a41	0.056784168	0.42915696	0.50447637	0.0057090432	0.0038733697
a15	0.03077193	0.43905038	0.5105671	0.011146507	0.008464063
a13	0.06417129	0.4649388	0.3990473	0.040320463	0.031522047
a31	0.091420054	0.43782985	0.35004205	0.06781119	0.052896816
a11	0.06648447	0.47729224	0.36077863	0.049342975	0.046101652
a31	0.12967405	0.35272726	0.29798993	0.11234689	0.10726187
a46	0.14638522	0.3229365	0.26717404	0.13203847	0.13146587
a31	0.18936479	0.2303869	0.21292472	0.18375011	0.18357351
a46	0.19275981	0.22014672	0.2083573	0.18939231	0.18934382
a31	0.19803883	0.20659854	0.20182204	0.19677635	0.19676426
</S>	0.19865055	0.20421936	0.20141268	0.19786273	0.19785468
