 	essendosi	vestito	</S>
a46	0.42249697	0.41994244	0.15756056
a31	0.2964226	0.50926983	0.1943075
a18	0.22206439	0.554547	0.22338861
a31	0.15338387	0.5511531	0.29546306
a20	0.18984371	0.5597966	0.25035974
a46	0.18731481	0.5591989	0.25348634
a20	0.19174887	0.5494519	0.2587993
a31	0.3051126	0.37564534	0.31924203
a0	0.31347346	0.37006867	0.31645784
a46	0.33152956	0.33680788	0.33166257
a35	0.33319333	0.33359623	0.33321047
a46	0.33330068	0.33339503	0.33330426
a24	0.33331817	0.33336177	0.33332002
a46	0.3333222	0.33335373	0.33332404
a24	0.3333273	0.33334377	0.33332896
a31	0.33332357	0.33335033	0.33332607
</S>	0.33332598	0.33334526	0.33332872
