 	non	ho	scritto	mai	una	lettera	al	mio	fratello	</S>
a31	0.11783779	0.11294148	0.10460918	0.027845854	0.046184972	0.034824442	0.12324886	0.16097283	0.17332768	0.09820697
a37	0.082697205	0.081690766	0.077191286	0.007727131	0.03406189	0.018067501	0.13297696	0.23038813	0.2710181	0.06418101
a31	0.09872398	0.10208518	0.10239639	0.033886176	0.075788185	0.06368558	0.12006566	0.13840446	0.15631822	0.10864621
a20	0.10002109	0.09362058	0.08078476	0.01845378	0.048829038	0.03611152	0.110732056	0.19897367	0.2365546	0.07591897
a31	0.114464924	0.10798017	0.095358886	0.007059189	0.03194063	0.017881658	0.10690544	0.20410582	0.24748836	0.066814825
a13	0.14238223	0.12829074	0.09252887	0.0025564607	0.011225337	0.0054753358	0.14323053	0.20229967	0.219727	0.05228378
a31	0.1011711	0.08533071	0.055230804	0.002594657	0.0077628545	0.0042516775	0.1536103	0.2645963	0.29372045	0.03173115
a20	0.06686887	0.056298554	0.038201287	0.0037798083	0.0072670695	0.005068442	0.12531741	0.30799806	0.36296248	0.026238002
a17	0.05137446	0.040571664	0.027619662	0.003202033	0.006467544	0.003960257	0.11281148	0.34071296	0.39913577	0.014144165
a20	0.03639072	0.0311433	0.026305385	0.008730562	0.011308465	0.009238374	0.06812015	0.32949567	0.46300164	0.016265716
a31	0.042529088	0.039949603	0.03806809	0.017089767	0.019947628	0.017805263	0.06963086	0.29975212	0.43000475	0.025222847
a20	0.043895215	0.039474014	0.03518557	0.01727165	0.019124048	0.017832374	0.06625544	0.30696106	0.42911625	0.024884423
a31	0.053173523	0.04774492	0.042066697	0.021923978	0.02426858	0.022324154	0.061354376	0.2942933	0.40507072	0.027779745
a3	0.07418722	0.07023443	0.06424602	0.042528268	0.044047225	0.042919304	0.0754732	0.2396691	0.29884166	0.047853574
a8	0.085681476	0.079957895	0.07179648	0.04646278	0.048731405	0.046803482	0.073364936	0.21770772	0.27798933	0.05150451
</S>	0.103058614	0.09893822	0.08976929	0.07054346	0.07138237	0.07073093	0.08714477	0.1604613	0.17483558	0.07313549
