 	che	non	li	aspetiamo	</S>
a20	0.24543479	0.2185669	0.22125465	0.25570345	0.059040252
a8	0.27438703	0.16259517	0.11462421	0.4354218	0.012971797
a7	0.25535512	0.18681042	0.1586024	0.38473052	0.014501556
a35	0.2604889	0.1967831	0.16533495	0.3629413	0.014451754
a46	0.2931496	0.20547286	0.14998777	0.33704108	0.014348687
a31	0.33000737	0.19614114	0.12834652	0.3172267	0.028278293
a11	0.29099765	0.19044232	0.16347785	0.29227605	0.06280612
a31	0.25519404	0.20702091	0.19643371	0.25025424	0.09109714
a0	0.2089986	0.2061811	0.23173514	0.2509402	0.102144964
a31	0.18625511	0.19487303	0.23625305	0.24998379	0.13263492
a30	0.19370042	0.19490685	0.20886563	0.22079381	0.18173333
a0	0.19932456	0.19945256	0.2016113	0.20351456	0.196097
a31	0.19953848	0.19959332	0.2006919	0.2020417	0.19813462
</S>	0.20035571	0.2001201	0.20041232	0.20130761	0.19780426
