 	dovevo	comprare	il	pane	</S>
a31	0.3358303	0.14932203	0.1724024	0.204714	0.13773121
a46	0.30165613	0.07266353	0.18152697	0.32130155	0.12285183
a31	0.24369566	0.0679832	0.16407786	0.3785029	0.14574042
a18	0.4739344	0.02461695	0.11502212	0.325521	0.060905516
a13	0.6364836	0.020882614	0.08916227	0.2091763	0.044295195
a0	0.6425445	0.03017207	0.089103654	0.19030568	0.047874033
a20	0.5633549	0.04626471	0.105750665	0.21277761	0.07185209
a7	0.6273915	0.045184433	0.093442366	0.15567851	0.07830306
a20	0.6208132	0.049540512	0.09515011	0.14399463	0.09050155
a31	0.5913624	0.05673435	0.10583699	0.14416939	0.10189698
a11	0.4851974	0.06933866	0.11021154	0.1785996	0.15665282
a39	0.3304634	0.10516402	0.13150679	0.21819721	0.21466857
a31	0.25311187	0.12483047	0.14735062	0.2357202	0.23898685
a13	0.25358436	0.16316763	0.16860998	0.20390561	0.2107324
a17	0.21693723	0.18809591	0.18984902	0.20137392	0.20374388
a31	0.20779888	0.19548179	0.1960759	0.19987682	0.20076664
a46	0.20482853	0.19787098	0.19810542	0.19946274	0.19973227
a20	0.20169592	0.19937304	0.19943196	0.19973524	0.19976382
a31	0.20072763	0.19970238	0.19974323	0.19991565	0.19991104
</S>	0.20072073	0.19975282	0.19978282	0.19988869	0.19985488
