 	non	sapeva	dove	a	stare	</S>
a20	0.18972382	0.1757191	0.18062277	0.10790809	0.18446392	0.16156219
a31	0.24179612	0.13637944	0.18453626	0.035184138	0.2910528	0.11105131
a37	0.20591442	0.17054452	0.2036466	0.04295276	0.25076804	0.12617363
a38	0.23828068	0.1405375	0.204541	0.036753748	0.28955424	0.090332836
a31	0.237882	0.14582379	0.19650647	0.07750137	0.2471156	0.09517081
a41	0.19010846	0.13052976	0.22170325	0.0658308	0.3159455	0.07588222
a10	0.19504832	0.15683511	0.2267483	0.09367031	0.22750907	0.100188926
a20	0.19077982	0.14461674	0.21541293	0.08407164	0.25066447	0.114454426
a9	0.18498863	0.14642951	0.17069925	0.10756	0.19505252	0.19527009
</S>	0.16058494	0.15110473	0.15483084	0.14590658	0.17109431	0.21647865
