 	l	ha	scritta	</S>
a20	0.36478215	0.28496778	0.2847869	0.06546309
a31	0.4579689	0.24646322	0.26843306	0.027134787
a35	0.37409464	0.2817083	0.32332435	0.02087278
a31	0.57384425	0.2065445	0.1943313	0.025279934
a35	0.58084047	0.19840898	0.19734004	0.023410512
a31	0.5953587	0.19020158	0.18696146	0.027478209
a41	0.532271	0.20843425	0.23410362	0.025191225
a31	0.43765324	0.21055555	0.28557548	0.06621574
a11	0.44495735	0.20112628	0.26152354	0.09239278
a18	0.3434769	0.22690144	0.26224753	0.16737415
a13	0.26573735	0.24555486	0.25321624	0.23549156
</S>	0.25228006	0.24935643	0.25041595	0.24794753
