 	la	pasta	vuole	sale	</S>
a31	0.22610947	0.24958412	0.16364136	0.24988103	0.110783994
a15	0.161688	0.2535873	0.13718814	0.3973754	0.050161146
a31	0.09036746	0.27507916	0.12041627	0.4585174	0.055619646
a13	0.077641256	0.25069454	0.11199501	0.5165826	0.043086622
a31	0.08167757	0.25445527	0.18227367	0.4149374	0.0666561
a6	0.07993964	0.23916084	0.19985497	0.42233887	0.058705732
a31	0.06522949	0.20353171	0.16238736	0.500261	0.0685904
a46	0.06679658	0.19083849	0.13152729	0.541314	0.06952369
a31	0.09901445	0.20757125	0.14612184	0.44345027	0.10384217
a46	0.14491156	0.20045981	0.16639459	0.33190414	0.15632994
a20	0.17072456	0.20904833	0.18549371	0.26630834	0.1684251
</S>	0.19364022	0.20178023	0.1968418	0.21445337	0.19328439
