 	forse	stanno	ancora	svegli	</S>
a31	0.26188907	0.19292744	0.22181922	0.23430891	0.08905537
a10	0.16812727	0.11607078	0.233112	0.39078912	0.09190081
a20	0.18627958	0.13070458	0.23500109	0.30675393	0.1412608
a31	0.24309082	0.16393305	0.2415748	0.27158967	0.07981164
a18	0.27836773	0.09754698	0.26604372	0.33469784	0.023343649
a31	0.30887958	0.091548674	0.23974335	0.32913876	0.03068963
a35	0.29749358	0.08965067	0.24460496	0.34413394	0.024116838
a31	0.2885628	0.068519115	0.239004	0.3751004	0.028813684
a10	0.25367472	0.088016465	0.23282838	0.35844108	0.06703932
a20	0.22816053	0.11252372	0.2196149	0.37307394	0.066626914
a29	0.23223571	0.16323566	0.21372174	0.2658322	0.12497468
a20	0.22116542	0.19005011	0.20243432	0.21051702	0.17583308
a31	0.21102293	0.19542937	0.19977367	0.20360345	0.1901706
a28	0.20137633	0.19902492	0.19979358	0.20124102	0.19856417
a8	0.20204802	0.19938272	0.20008099	0.20002456	0.19846371
a21	0.20052508	0.199855	0.19999713	0.19998007	0.19964279
</S>	0.20053418	0.1998452	0.19996417	0.20000723	0.19964916
