 	Marika	tu	hai	mangiato	</S>
a8	0.28667948	0.35565454	0.10203495	0.13509187	0.120539136
a31	0.24160063	0.3869058	0.07467007	0.15184632	0.1449772
a24	0.18651818	0.34296718	0.0963913	0.1984362	0.17568709
a31	0.20248401	0.40601707	0.11296579	0.14255518	0.13597794
a28	0.20310415	0.36793154	0.12751405	0.15701762	0.14443271
a31	0.21546322	0.31770906	0.14985213	0.16655561	0.15042001
a3	0.26006126	0.42335755	0.091394685	0.13236746	0.09281901
a18	0.19688885	0.35397336	0.1218105	0.17185344	0.15547386
a31	0.15938266	0.26077873	0.14859366	0.19941792	0.23182707
a23	0.2115042	0.23747906	0.17062186	0.18335374	0.19704108
a31	0.20357582	0.20589577	0.19387211	0.19664112	0.20001519
a20	0.20205621	0.20277941	0.19777402	0.19841228	0.19897804
</S>	0.20158893	0.20121731	0.19901069	0.19916181	0.19902126
