 	sto	ancora	cucinando	</S>
a20	0.23406298	0.3377588	0.33342135	0.09475686
a31	0.063187905	0.33598298	0.5501219	0.050707147
a37	0.09063363	0.31791595	0.5479968	0.043453623
a20	0.069948345	0.33883995	0.51621705	0.07499463
a31	0.11130881	0.3277686	0.45081705	0.11010551
a30	0.08763105	0.36196902	0.48836026	0.062039632
a46	0.08807701	0.32256967	0.52282757	0.06652581
a31	0.0834772	0.287241	0.52339804	0.1058838
a39	0.0963812	0.24330418	0.5614672	0.09884738
a15	0.16227657	0.24919449	0.43198597	0.15654297
a20	0.22982205	0.24624513	0.2900963	0.23383644
a22	0.24393338	0.24828194	0.26211685	0.24566789
a31	0.24851747	0.25068748	0.2528007	0.24799438
a46	0.24968033	0.25007036	0.25062725	0.24962209
</S>	0.2498559	0.25007084	0.25027853	0.24979472
