 	non	ha	da	mangiare	</S>
a31	0.28068918	0.32320753	0.082069874	0.21788704	0.096146375
a20	0.21213499	0.35546428	0.03663944	0.3441031	0.05165814
a31	0.1763137	0.49325463	0.03458329	0.24239965	0.053448755
a41	0.17491733	0.570724	0.031804442	0.19126998	0.031284176
a10	0.17154172	0.51802254	0.056483258	0.20401463	0.04993788
a31	0.15818714	0.50364166	0.054936204	0.23295315	0.050281826
a15	0.1468186	0.4720797	0.04053121	0.29252622	0.048044275
a31	0.14775722	0.3896482	0.06566675	0.30069244	0.096235335
a39	0.16751632	0.309957	0.121208824	0.24872835	0.1525895
a37	0.18502934	0.2917058	0.15371548	0.21640678	0.15314263
</S>	0.19653998	0.22107533	0.18942323	0.20353396	0.18942754
