 	se	aveva	vestito	la	figlia	l	avessi	portato	alla	chiesa	</S>
a23	0.10543438	0.087545045	0.07131669	0.045489114	0.092050806	0.12967038	0.1471746	0.023954714	0.1053598	0.13493027	0.057074193
a31	0.14816193	0.09171696	0.06400531	0.04056418	0.07428618	0.13464777	0.23065022	0.006530435	0.06364239	0.09548051	0.050314117
a20	0.1303823	0.083953075	0.06997736	0.058114357	0.0822466	0.115087934	0.18477309	0.023553092	0.08231064	0.105474755	0.06412677
a13	0.117517434	0.087110154	0.07651407	0.07538613	0.094358526	0.10464601	0.1279543	0.032181118	0.09522095	0.10192541	0.08718587
a37	0.108162194	0.09259239	0.08618388	0.085576	0.09283216	0.097256355	0.10758719	0.049989052	0.09302957	0.09561157	0.09117961
a31	0.11178682	0.09595537	0.089141	0.08460855	0.09215452	0.09733381	0.10789963	0.043834087	0.092283845	0.09456679	0.090435535
a43	0.13451535	0.0952926	0.07720866	0.060539175	0.08216404	0.10981177	0.16350745	0.015374842	0.08482001	0.100707375	0.07605875
a31	0.14394905	0.098056465	0.06460147	0.03337154	0.08181127	0.13829966	0.17798488	0.0123501755	0.091631986	0.10731018	0.050633293
a24	0.16090062	0.059563685	0.031183029	0.014824489	0.05260168	0.16731578	0.27600902	0.0047871466	0.076338954	0.13043615	0.026039373
a7	0.12431213	0.057858355	0.034209516	0.019953663	0.06172932	0.18254007	0.27830616	0.0077505116	0.07893003	0.12955074	0.02485951
a31	0.09446912	0.04856041	0.032821767	0.02538465	0.0507452	0.20768073	0.30909887	0.012702016	0.06483143	0.12772802	0.025977802
a13	0.09814085	0.03322953	0.018679034	0.012463967	0.039700698	0.20847093	0.35735852	0.0055222437	0.06403465	0.14674123	0.015658429
a28	0.062078122	0.03698525	0.028842982	0.025433525	0.048360337	0.22160725	0.36615846	0.014356981	0.05529034	0.11790028	0.02298647
a20	0.061746288	0.040695563	0.033467293	0.030558093	0.052523904	0.21054922	0.3635737	0.017196748	0.055981796	0.10694279	0.026764616
a31	0.06702947	0.049163193	0.040969566	0.03828327	0.060388763	0.19903174	0.32424876	0.02124427	0.06259629	0.10256695	0.03447773
a37	0.05602723	0.029277543	0.021775931	0.019154504	0.039082855	0.22471188	0.39009622	0.013253268	0.052465092	0.13475911	0.019396411
a1	0.06549867	0.051778898	0.044454325	0.041059285	0.06411591	0.19707356	0.28514975	0.031787306	0.0679036	0.11365602	0.037522644
a28	0.07327343	0.06338158	0.055302273	0.05374899	0.08128307	0.16670933	0.21595518	0.04036376	0.08455516	0.1163049	0.04912231
a1	0.075493485	0.06583174	0.057489414	0.057386637	0.08638724	0.15687463	0.19841804	0.041688196	0.09015798	0.11738839	0.05288421
a28	0.07260456	0.06286421	0.056662165	0.059982415	0.08854626	0.15433793	0.18748805	0.042872857	0.095216446	0.12311057	0.05631456
a31	0.07497987	0.06685641	0.061191652	0.06572357	0.09614595	0.14160804	0.15877305	0.04679412	0.10208294	0.123832	0.06201239
a20	0.07113408	0.0669543	0.06546345	0.06675878	0.08402882	0.15006408	0.1518417	0.06262958	0.08742668	0.12790936	0.06578911
a31	0.08601795	0.083001874	0.081911094	0.082202435	0.089514434	0.11434253	0.104092106	0.08054538	0.089498155	0.10734125	0.081532836
a20	0.08999597	0.088206924	0.0877012	0.087572694	0.08894659	0.098664865	0.10046082	0.08729796	0.08929914	0.094313964	0.0875399
a31	0.09170294	0.090351395	0.08993404	0.08980666	0.09040428	0.0933299	0.09269818	0.089652106	0.09036622	0.092026174	0.08972803
a8	0.091287665	0.0905948	0.09040011	0.09032019	0.09048093	0.09194583	0.092700996	0.090277046	0.090527125	0.09115388	0.09031146
</S>	0.0911889	0.090857126	0.09075991	0.0907214	0.09077833	0.091200486	0.0913374	0.09070258	0.0907799	0.090962574	0.09071143
