 	vivendo	la	mia	figlia	la	avevo	portata	alla	chiesa	</S>
a31	0.096935816	0.087626286	0.086939	0.07788168	0.055955622	0.11640631	0.13040356	0.1235723	0.1285578	0.09572163
a28	0.11385002	0.030042093	0.03437546	0.03221989	0.024755135	0.09404681	0.24154009	0.15724482	0.21788697	0.054038677
a24	0.11554804	0.061652943	0.06625387	0.06554072	0.06331764	0.097958714	0.15003173	0.118970975	0.16321671	0.09750861
a28	0.104104206	0.08412796	0.08657911	0.08529935	0.08206772	0.09742131	0.13009875	0.10482697	0.12560771	0.099866875
a31	0.10446298	0.0853867	0.08691925	0.08287771	0.07147984	0.09795694	0.14685076	0.10676769	0.12558351	0.091714606
a20	0.1013133	0.044799194	0.047107626	0.039839655	0.023899721	0.0873822	0.1935516	0.16994555	0.21060643	0.08155472
a31	0.063786305	0.028252622	0.028992869	0.019835485	0.01035625	0.10162088	0.23175624	0.19733141	0.27524936	0.04281858
a13	0.10089384	0.01794854	0.019192977	0.0124615	0.005860473	0.122559756	0.23157082	0.20583232	0.23800986	0.045669902
a31	0.038257536	0.009502304	0.0102006225	0.008286219	0.0058254777	0.0911686	0.30754262	0.2073862	0.3033537	0.01847672
a41	0.035888433	0.008921233	0.009433238	0.007667027	0.005441819	0.092212	0.31508785	0.20887649	0.29850155	0.01797032
a33	0.0301472	0.008847924	0.009299196	0.0076696887	0.005556495	0.082236014	0.34348795	0.19765542	0.29974294	0.015357212
a8	0.03288742	0.016714044	0.01748491	0.016140861	0.013702214	0.07578017	0.44574225	0.13824141	0.2259607	0.01734604
a24	0.042304035	0.021625258	0.022807203	0.021501863	0.019191137	0.08665335	0.44980443	0.12710033	0.1862975	0.022714913
a37	0.04576489	0.023780894	0.02476586	0.02318302	0.020944143	0.11244439	0.38073978	0.14885822	0.19284229	0.0266765
a5	0.049335666	0.026922254	0.028590154	0.027805429	0.026149433	0.09671907	0.40940198	0.12859243	0.17509302	0.03139061
a31	0.053190056	0.028592028	0.030387737	0.029855506	0.028241768	0.089091785	0.43503442	0.11601808	0.15680383	0.032784697
a20	0.035185512	0.019225786	0.01982217	0.01909375	0.017868744	0.086880244	0.43578184	0.13642374	0.20716289	0.02255534
a31	0.05211391	0.03487787	0.035618432	0.035104472	0.033844646	0.08346748	0.46183503	0.10279079	0.12498647	0.035360824
a8	0.035748504	0.028867112	0.029028349	0.028233226	0.027441716	0.060474835	0.51961637	0.0943225	0.14568049	0.03058694
a31	0.064717226	0.05828804	0.058513142	0.057870053	0.057165172	0.08072925	0.36811638	0.092279844	0.10427805	0.058042876
a20	0.0699829	0.065985106	0.066095926	0.06549654	0.06496919	0.07877771	0.3211311	0.0908692	0.10984171	0.066850565
a24	0.090005435	0.08500959	0.08521964	0.084403716	0.08369651	0.09224159	0.1975721	0.09609676	0.101369575	0.084385045
a31	0.09322289	0.08914528	0.089328535	0.088877454	0.08840077	0.09780113	0.16378354	0.10010146	0.10085025	0.0884887
a37	0.09368013	0.0927553	0.092780076	0.092663206	0.092552565	0.09602663	0.14647277	0.09842853	0.10174996	0.09289083
</S>	0.098934576	0.09778447	0.09783185	0.09765838	0.09751085	0.09911321	0.11382527	0.09959899	0.10014654	0.09759585
