 	non	aveva	dove	aveva	per	stare	</S>
a7	0.16652207	0.15286696	0.16219464	0.10006046	0.13551113	0.15720288	0.12564181
a31	0.2293306	0.13742104	0.27383062	0.047507267	0.0650342	0.16139221	0.085484065
a29	0.1799456	0.15169795	0.22389138	0.07700233	0.08686561	0.15774226	0.12285482
a19	0.21605083	0.14386488	0.25994724	0.051119454	0.07391144	0.16352472	0.09158141
a46	0.25064805	0.11876239	0.24913898	0.07127079	0.07300264	0.14684926	0.0903279
a31	0.20419231	0.1291219	0.22347498	0.09778393	0.098767266	0.13897377	0.1076858
a38	0.15912643	0.11371008	0.20891456	0.1129648	0.10929243	0.149929	0.14606273
a31	0.12265351	0.106019914	0.17483762	0.13527587	0.12918785	0.15561506	0.17641012
a20	0.14509165	0.11294377	0.17024036	0.11503734	0.11566305	0.15030742	0.19071643
a31	0.13672085	0.12764731	0.14284028	0.12829848	0.12834239	0.13881117	0.1973395
a0	0.16188052	0.14183381	0.15659769	0.12478679	0.12636542	0.14151525	0.14702052
a31	0.14730123	0.14351147	0.14561078	0.13877025	0.13884337	0.14087652	0.14508648
a46	0.14655319	0.14359607	0.14536186	0.13999873	0.14020114	0.14231077	0.14197822
a18	0.14452563	0.14339116	0.14392896	0.14174329	0.1417937	0.14243181	0.14218546
</S>	0.14316648	0.14294314	0.14306267	0.14261614	0.14262022	0.14273833	0.14285299
