 	cosa	fa	Anna	il	sabato	mattina	</S>
a46	0.15028265	0.15093467	0.10197122	0.13938665	0.17111674	0.17803465	0.1082734
a31	0.08226557	0.11630035	0.06274026	0.12452022	0.22261249	0.29849663	0.09306447
a6	0.084593244	0.111384526	0.07881313	0.13184166	0.20912251	0.27860188	0.10564304
a31	0.09083737	0.13051769	0.09517663	0.16181989	0.18833777	0.21468167	0.118629016
a37	0.06545936	0.12115797	0.052424066	0.11193484	0.20464377	0.35472387	0.089656085
a31	0.08739453	0.1568862	0.0378332	0.1122535	0.19441776	0.3472491	0.06396571
a17	0.07602845	0.17964387	0.016628984	0.12674974	0.2588788	0.30414426	0.037925933
a31	0.06868662	0.16492411	0.013407918	0.118135154	0.2723296	0.33410737	0.02840916
a17	0.06406987	0.1578378	0.013220921	0.12951434	0.28226748	0.3259273	0.027162265
a31	0.05002086	0.11151948	0.008588844	0.09672809	0.3251695	0.39169693	0.016276278
a8	0.04102361	0.09320838	0.008832303	0.07234506	0.32469487	0.44341218	0.016483579
a31	0.04487785	0.094196126	0.00938395	0.06648583	0.32565442	0.44251695	0.016884906
a28	0.036968675	0.072816625	0.010938062	0.048865445	0.30661896	0.5058132	0.017978992
a0	0.04351454	0.0888785	0.010982142	0.05154091	0.3196928	0.46672857	0.018662568
a41	0.039708834	0.065895796	0.018535573	0.043894313	0.2560212	0.5528174	0.023126895
a39	0.052074313	0.07149606	0.031202178	0.06365828	0.23856966	0.5110572	0.031942323
a31	0.05796293	0.08195994	0.04166117	0.08484991	0.22543621	0.46569777	0.042432025
a39	0.048632048	0.07359459	0.020809509	0.05194682	0.2705424	0.50824666	0.02622796
a31	0.08262003	0.10076301	0.053820502	0.07460887	0.21392204	0.4185709	0.055694673
a18	0.08856263	0.107497215	0.06043963	0.0764523	0.19778626	0.40383923	0.065422766
a31	0.11674374	0.13480441	0.08440391	0.09619135	0.1688508	0.31144467	0.087561116
a18	0.13027133	0.14223994	0.111612864	0.118032984	0.15762609	0.22666477	0.113552056
a31	0.13868347	0.15395088	0.11116117	0.117291376	0.14851691	0.21661817	0.113778055
a39	0.1410044	0.14646077	0.13341251	0.13533056	0.14621551	0.16368459	0.13389172
a41	0.14669098	0.15866393	0.127304	0.13012384	0.14132498	0.16709623	0.12879607
a8	0.14827825	0.15664877	0.13431232	0.1360819	0.14276794	0.14798456	0.13392624
a31	0.1414638	0.14226292	0.14037433	0.14099166	0.1448829	0.14961734	0.14040706
a46	0.14223917	0.14267127	0.1416712	0.14192028	0.14353846	0.1462136	0.14174598
a8	0.14275612	0.14303046	0.14239694	0.14249338	0.14307813	0.1438485	0.14239642
</S>	0.14284757	0.1429617	0.14270402	0.14274521	0.14295645	0.14308462	0.14270043
