 	i	bambini	piccoli	non	si	vestono	da	soli	</S>
a8	0.12813091	0.104707964	0.024299309	0.08076182	0.120767154	0.15816239	0.12228043	0.16063206	0.100258045
a13	0.10688009	0.06598067	0.009339402	0.04722701	0.07170094	0.15875266	0.07337507	0.39157096	0.07517321
a0	0.11434044	0.0969095	0.015567261	0.082771525	0.11230422	0.13917626	0.10759208	0.2291562	0.10218251
a31	0.12430523	0.108338125	0.028070994	0.09479763	0.1132987	0.124550775	0.1129923	0.18018328	0.113462955
a18	0.11346724	0.093765415	0.031629387	0.080906264	0.0990882	0.1234096	0.1011678	0.2514766	0.10508952
a31	0.13142236	0.10830016	0.021177834	0.09091696	0.107732885	0.121161304	0.108297005	0.20177382	0.109217584
a28	0.13012506	0.073023975	0.0054303394	0.038181502	0.057986233	0.17251031	0.08101663	0.3583621	0.08336389
a20	0.12047336	0.048613507	0.004129092	0.012720746	0.0487396	0.21999393	0.06471792	0.440759	0.039852753
a31	0.098381795	0.03258984	0.004890958	0.009574803	0.04218694	0.23506671	0.04916915	0.5056786	0.022461152
a7	0.120134555	0.033340454	0.0028555905	0.005791484	0.03729366	0.29200897	0.059602674	0.4230077	0.025964946
a38	0.06273036	0.019489495	0.005197641	0.0072731744	0.025508197	0.25229937	0.027836252	0.5853386	0.014326986
a24	0.05339777	0.022838365	0.0075175646	0.010770335	0.028881546	0.21424682	0.026020346	0.6212727	0.015054632
a46	0.08063995	0.03503354	0.009853609	0.015531772	0.047174294	0.20760708	0.040995218	0.54213303	0.021031551
a31	0.09345433	0.041248523	0.0120151825	0.019465905	0.055356983	0.21429549	0.04810157	0.49093372	0.025128296
a38	0.06966356	0.027139083	0.008789206	0.0128805535	0.038252726	0.20921974	0.03415646	0.5815511	0.018347584
a31	0.06780914	0.036112394	0.016666323	0.021527223	0.04555939	0.22702284	0.037202716	0.5237132	0.024386713
a13	0.05747344	0.02165527	0.009229317	0.010864764	0.02624837	0.20707901	0.025880847	0.6251006	0.016468367
a31	0.05840921	0.038100913	0.023595251	0.025655832	0.036928486	0.18499352	0.03283924	0.5719499	0.027527617
a8	0.056073267	0.025992949	0.014573088	0.015462117	0.024517661	0.19194674	0.025779378	0.6247521	0.020902753
a20	0.07019121	0.046493333	0.03191391	0.033145405	0.042231932	0.1787457	0.03974734	0.52238816	0.035143033
a31	0.08549664	0.0674763	0.04863022	0.05021365	0.057363674	0.15572669	0.05460333	0.42866075	0.05182878
a15	0.0674702	0.042283818	0.031275075	0.031961415	0.038377207	0.16818196	0.038598314	0.54631126	0.035540827
a31	0.10892895	0.08633218	0.070236325	0.07109055	0.075799845	0.14843065	0.07420664	0.2928183	0.072156444
a20	0.08928708	0.06481137	0.05411586	0.05454436	0.058637768	0.15032972	0.059072252	0.41185135	0.05735019
a39	0.114005215	0.09121181	0.075142674	0.07545154	0.07792879	0.1329733	0.07802783	0.2779882	0.07727063
a31	0.13094628	0.11180434	0.08942456	0.09000258	0.092150144	0.11707176	0.09144443	0.18624035	0.09091556
a8	0.115423985	0.09686469	0.09097562	0.0911886	0.09285221	0.1268038	0.09287118	0.20084436	0.09217549
a31	0.119842164	0.10590435	0.102076694	0.102151684	0.10289421	0.11900972	0.102825895	0.14282194	0.10247334
a37	0.11608005	0.10813088	0.10628236	0.10631356	0.10664444	0.11436221	0.106697254	0.12889937	0.10658991
a20	0.12068369	0.10987251	0.107083626	0.10710503	0.10729261	0.11173178	0.10734646	0.121563405	0.10732085
a8	0.12575345	0.111706086	0.10749829	0.10753165	0.10766597	0.10967862	0.10764578	0.11489655	0.107623614
a20	0.11246771	0.11063812	0.11025308	0.11026778	0.11035815	0.111830756	0.11032839	0.1135713	0.11028471
a31	0.11446569	0.11103852	0.11028229	0.11030941	0.11039816	0.11093373	0.11034495	0.11191023	0.11031702
</S>	0.11135549	0.11047797	0.1102956	0.110304944	0.11038858	0.11207683	0.110376835	0.114389434	0.110334314
