 	forse	sono	usciti	</S>
a23	0.56868887	0.14582555	0.105522886	0.17996265
a31	0.7469095	0.0788482	0.06778978	0.10645255
a23	0.60354674	0.12210659	0.076533295	0.19781335
a31	0.65327066	0.10992955	0.09405843	0.14274144
a10	0.7426483	0.07878177	0.07104607	0.107523866
a37	0.6859904	0.09854461	0.094103895	0.121361114
a31	0.48223394	0.1705413	0.16271664	0.18450809
a37	0.6730482	0.104137674	0.09263784	0.13017628
a31	0.45550445	0.1700424	0.16553299	0.20892024
a39	0.30432162	0.23051709	0.22902837	0.2361329
a31	0.26262808	0.24603172	0.24551429	0.2458259
</S>	0.2510025	0.24966653	0.24963287	0.24969815
