 	ancora	non	mi	sono	vestito	</S>
a8	0.2720353	0.14674719	0.23138148	0.05125532	0.19076721	0.10781354
a31	0.15343904	0.09446872	0.304237	0.025134964	0.28657207	0.13614817
a10	0.14369266	0.10117784	0.27884957	0.035941657	0.2592553	0.181083
a31	0.1968876	0.07090897	0.38395432	0.021970857	0.23989494	0.0863833
a18	0.2918228	0.028669877	0.48600417	0.011272072	0.15587738	0.02635362
a31	0.34936616	0.03263454	0.44687364	0.01720555	0.12579834	0.028121825
a20	0.3602422	0.044067036	0.3716837	0.019257106	0.1706419	0.034108024
a31	0.35486296	0.0395076	0.37591	0.0145924175	0.18302271	0.032104246
a13	0.29210514	0.03724989	0.43527153	0.021718072	0.16856444	0.045090877
a35	0.33538133	0.04245102	0.38316315	0.017853182	0.1832033	0.03794807
a39	0.27384448	0.07005325	0.35596588	0.051272877	0.16863859	0.08022484
a46	0.1814335	0.11126991	0.25066584	0.098491155	0.20439492	0.1537447
a31	0.17052235	0.13546348	0.16678892	0.13542569	0.20943518	0.18236442
a20	0.18075137	0.15921134	0.17161241	0.15834908	0.16745023	0.16262555
a31	0.17175086	0.16443749	0.16870855	0.1640173	0.16612025	0.16496557
a39	0.16888863	0.16575314	0.16779622	0.16557263	0.16620068	0.16578868
a31	0.16902179	0.16576923	0.168165	0.16554421	0.16590135	0.16559836
</S>	0.16718575	0.1664767	0.16692689	0.16643216	0.16652125	0.16645727
