 	io	voglio	che	Maria	venga	qui	</S>
a31	0.24505912	0.19210646	0.15963392	0.042512313	0.26628897	0.040107828	0.05429138
a39	0.34730247	0.16778433	0.12840077	0.011960359	0.3130444	0.0058598346	0.025647832
a31	0.3539728	0.1587286	0.12994066	0.051511362	0.19437619	0.028243162	0.08322723
a37	0.35808226	0.17880028	0.12150674	0.018490901	0.2841472	0.009304783	0.02966777
a31	0.38686445	0.18307838	0.12012507	0.0072673303	0.28382838	0.0053974506	0.013438905
a11	0.30225113	0.23895137	0.1628796	0.005089254	0.28239655	0.0028832324	0.0055488893
a20	0.35355312	0.20219366	0.09109143	0.005278713	0.34038585	0.002977937	0.004519217
a4	0.44224605	0.11623318	0.0446431	0.006568901	0.37962338	0.0044184364	0.0062669236
a24	0.39615306	0.069675796	0.03898175	0.008821938	0.47147888	0.006269256	0.008619179
a31	0.37677833	0.08341963	0.053876802	0.02179123	0.42286533	0.01724407	0.02402464
a11	0.343659	0.056117464	0.033199172	0.013755638	0.5262159	0.01258891	0.014463797
a24	0.19840729	0.09023735	0.07955235	0.051550973	0.47849518	0.050096665	0.051660206
a31	0.1668301	0.1241293	0.11613419	0.08515502	0.33934292	0.08268016	0.08572825
a46	0.15483649	0.11744647	0.11144013	0.1070178	0.29530364	0.1068128	0.1071426
a8	0.15230697	0.13858707	0.13600342	0.13458036	0.16939156	0.1345437	0.13458689
</S>	0.14471143	0.14105469	0.14044282	0.14008608	0.15353808	0.14007358	0.14009333
