 	dove	aveva	per	stare	non	aveva	</S>
a24	0.1693204	0.11769004	0.12863216	0.15415944	0.15520401	0.16635753	0.1086364
a20	0.22629929	0.027794342	0.06420038	0.2453001	0.1464631	0.27021706	0.019725747
a13	0.23328958	0.062206782	0.11419143	0.22437716	0.13602576	0.17241725	0.057492066
a37	0.19586952	0.09501331	0.13435441	0.17027748	0.14649543	0.15689719	0.10109261
a24	0.1946048	0.10275399	0.13340393	0.16397063	0.14748175	0.15733027	0.10045459
a31	0.23404354	0.08813561	0.115904935	0.1690388	0.1474322	0.16841927	0.07702574
a20	0.3139097	0.05191281	0.0739565	0.15908554	0.13535553	0.21667904	0.04910079
a0	0.30930793	0.05515322	0.077019565	0.14701463	0.13635705	0.21871208	0.056435518
a20	0.27819327	0.057068877	0.07712982	0.14479838	0.14537965	0.22853091	0.06889907
a31	0.22173053	0.07113873	0.09435548	0.14804661	0.15036133	0.22108404	0.09328336
a8	0.14170937	0.06738376	0.08784947	0.15759328	0.17423451	0.24166575	0.12956387
a23	0.103453495	0.07593545	0.08256484	0.14409386	0.20173924	0.24821956	0.14399357
a38	0.099444345	0.08986108	0.092703775	0.12960391	0.21014549	0.24272494	0.13551651
a33	0.1050556	0.099888645	0.10123101	0.121743165	0.20155846	0.24429542	0.12622768
a31	0.11648439	0.11448376	0.11499365	0.123500556	0.17638509	0.2285666	0.12558594
a24	0.1261735	0.124323554	0.12460042	0.12904784	0.16029902	0.20565122	0.12990452
a18	0.13541135	0.1333015	0.133408	0.13508467	0.15037075	0.17713138	0.13529226
a31	0.13556176	0.1351782	0.13525538	0.13665433	0.14888434	0.17142078	0.13704522
a33	0.13987708	0.13954435	0.13958256	0.14019562	0.14512631	0.15536964	0.14030449
</S>	0.1415298	0.14143543	0.14145032	0.14169037	0.14383546	0.14831163	0.14174698
