 	qui	dentro	deve	mettere	un	tappeto	</S>
a20	0.073343985	0.127212	0.08366431	0.21582636	0.0936935	0.32949483	0.07676497
a31	0.016810665	0.109264016	0.0298048	0.28304672	0.13793586	0.3746004	0.048537478
a4	0.033946905	0.107512735	0.047431707	0.26429996	0.11844437	0.3738007	0.05456367
a46	0.042445887	0.10978387	0.04920604	0.2604373	0.12767714	0.351323	0.059126817
a31	0.021855233	0.15649338	0.052581657	0.24163575	0.13121271	0.31745198	0.078769244
a28	0.030455582	0.112167194	0.04314667	0.26599884	0.11846301	0.37228876	0.05747998
a27	0.020778095	0.119224936	0.038393278	0.26574722	0.121519856	0.37714142	0.057195175
a31	0.014577378	0.1138574	0.02786013	0.27536675	0.1397373	0.3782038	0.050397303
a49	0.011088322	0.07111343	0.016566316	0.3038195	0.10145166	0.46773085	0.028229913
a23	0.012309362	0.06728946	0.017009558	0.30217245	0.10762045	0.46684983	0.02674894
a31	0.016181001	0.05302415	0.020839622	0.31930164	0.11810396	0.4393322	0.033217426
a29	0.013131327	0.041938953	0.015810046	0.30200842	0.083059914	0.52490455	0.019146727
a17	0.019657476	0.04608576	0.023367124	0.32123145	0.11022985	0.4504858	0.028942514
a20	0.0236266	0.043081846	0.025747957	0.3331108	0.11644566	0.41608828	0.041898895
a17	0.024587972	0.04241946	0.026514236	0.3352701	0.12565722	0.4031092	0.042441856
a31	0.025625378	0.04265845	0.027384987	0.33479983	0.11990376	0.40578216	0.04384548
a20	0.035319027	0.04520166	0.036215536	0.29946953	0.082502134	0.4525027	0.04878941
a31	0.069557495	0.077229455	0.070180796	0.22071338	0.09545506	0.38492745	0.081936345
a3	0.092096396	0.09574071	0.09233929	0.1880223	0.104561746	0.33090922	0.09633033
a31	0.13236491	0.13351215	0.13248667	0.15151942	0.13515118	0.18149197	0.13347371
a8	0.13730302	0.13822721	0.13738318	0.14843711	0.13856108	0.16276579	0.1373226
</S>	0.14185315	0.14214307	0.1419024	0.14382151	0.1420534	0.1464187	0.14180776
