 	sto	e	cucino	</S>
a31	0.34623078	0.4886125	0.08131049	0.083846204
a20	0.2625288	0.7021576	0.015873551	0.019440003
a31	0.22246425	0.7300439	0.016918901	0.030572938
a37	0.18995398	0.7910772	0.0068068476	0.012161958
a18	0.14353687	0.8292428	0.0088081835	0.018412128
a31	0.13150348	0.8159658	0.016673181	0.03585754
a20	0.09154955	0.87940896	0.012209576	0.016831864
a31	0.15660803	0.70234805	0.06794639	0.0730975
a28	0.21603285	0.48934612	0.14670148	0.14791954
a33	0.23949152	0.37778062	0.19125332	0.19147457
a31	0.25035498	0.25815642	0.24573451	0.24575411
</S>	0.2499838	0.25226825	0.24887165	0.24887627
