 	non	ho	cosa	a	fare	</S>
a8	0.31429166	0.22596069	0.08801889	0.10896683	0.14222653	0.12053545
a31	0.27373543	0.19416039	0.063801035	0.106681556	0.17827006	0.18335162
a37	0.22402251	0.18015091	0.059167545	0.13775773	0.21885072	0.18005055
a10	0.28456062	0.15071814	0.088487186	0.16813341	0.17463373	0.13346693
a37	0.22043093	0.16830818	0.10630096	0.21518184	0.18634821	0.103429906
a10	0.18077534	0.16478226	0.110264875	0.22958887	0.19201319	0.12257538
a0	0.15574434	0.14053239	0.097212344	0.2349045	0.2166452	0.15496124
a20	0.12776941	0.115913786	0.10624821	0.18616924	0.2190647	0.24483465
a17	0.13024111	0.12741444	0.12566108	0.15812486	0.19327329	0.26528522
a20	0.14939298	0.14878702	0.1484753	0.15758306	0.17099014	0.22477147
a8	0.15913057	0.15898399	0.15888505	0.1622516	0.16750109	0.19324774
</S>	0.16539535	0.16534473	0.16532347	0.16586256	0.16672169	0.17135224
