 	l	ho	sentito	che	veniva	</S>
a41	0.25447896	0.2255889	0.22617824	0.22336462	0.034713894	0.035675332
a31	0.3140793	0.22782223	0.22710237	0.19750813	0.014268498	0.01921938
a24	0.30320197	0.22550835	0.24096584	0.2027909	0.012313562	0.015219335
a15	0.43152213	0.2219554	0.17007771	0.14109941	0.01741924	0.017926091
a28	0.47768766	0.20739041	0.15913019	0.12482662	0.017066928	0.013898132
a0	0.48623958	0.19436696	0.15490782	0.125628	0.019195462	0.019662179
a31	0.44693938	0.18001029	0.14383566	0.13672075	0.038980395	0.05351353
a11	0.32838926	0.15527701	0.17197567	0.16322616	0.06673503	0.114397004
a31	0.18289582	0.15915205	0.19145928	0.19186272	0.116786845	0.15784337
a39	0.18537089	0.16376531	0.16869248	0.1686908	0.15525946	0.15822114
a20	0.1680747	0.16627167	0.16737662	0.16744137	0.16520451	0.16563115
</S>	0.16717774	0.1665284	0.16700742	0.16700736	0.1660649	0.16621423
