 	non	avete	mangiato	mai	un	rustico	</S>
a23	0.20307137	0.17381981	0.057978712	0.039287504	0.11491086	0.26178598	0.14914577
a31	0.13466659	0.101620235	0.023078233	0.007651235	0.0849822	0.51236063	0.13564086
a29	0.10834925	0.100447826	0.057492837	0.011836463	0.12245642	0.42626712	0.17315014
a24	0.15259981	0.14933784	0.06467652	0.013342863	0.16164795	0.26194164	0.19645335
a18	0.1746506	0.16708681	0.07760558	0.014120173	0.16228896	0.2206366	0.1836113
a31	0.20275906	0.18256442	0.0659401	0.016395193	0.1402934	0.22487463	0.1671732
a13	0.22583468	0.17141475	0.029114695	0.015551156	0.06478981	0.3837229	0.10957194
a11	0.22825986	0.13965598	0.032347154	0.02001067	0.047951356	0.45622882	0.07554622
a8	0.17882046	0.10273985	0.036226235	0.021842284	0.047148194	0.55190337	0.061319612
a31	0.16289367	0.09582819	0.034915	0.022743043	0.055633154	0.55769426	0.07029267
a24	0.11271046	0.075812675	0.036299903	0.027630335	0.062760234	0.6087393	0.07604709
a31	0.13221735	0.08072552	0.03857087	0.033245053	0.06950496	0.546194	0.09954227
a39	0.097062856	0.072077155	0.044487022	0.039210737	0.076334246	0.5726247	0.09820331
a20	0.10074391	0.083066665	0.06462291	0.061855245	0.089960314	0.4758836	0.12386738
a31	0.10888225	0.094463	0.0777305	0.07516562	0.10253971	0.40184996	0.13936895
a20	0.09943648	0.08729499	0.07725234	0.07597588	0.09252752	0.44696334	0.120549396
a31	0.12049186	0.11153117	0.10498245	0.104271516	0.112120666	0.31677443	0.12982795
a46	0.12153139	0.11293484	0.10786545	0.107526414	0.110863164	0.32069388	0.11858482
a31	0.13631946	0.13270053	0.13064283	0.13049348	0.1318347	0.20283149	0.13517755
a23	0.14049894	0.13728872	0.13560331	0.13551934	0.13600577	0.17803067	0.13705319
a31	0.14278586	0.14157884	0.14097072	0.1409377	0.14109483	0.15114965	0.14148243
a46	0.14291993	0.1418709	0.14134388	0.14131902	0.14140837	0.14956671	0.14157118
a8	0.14304547	0.14264087	0.14244428	0.1424351	0.14246158	0.14445026	0.14252236
a31	0.14288066	0.14271273	0.14263046	0.1426262	0.14264497	0.14381479	0.14269017
a38	0.14287871	0.14276089	0.14270271	0.14269991	0.14270943	0.14352037	0.14272803
a20	0.14288181	0.14279807	0.14275743	0.14275531	0.14276324	0.14326163	0.14278248
a31	0.14291564	0.14254665	0.1423651	0.14235464	0.14239828	0.14491029	0.14250946
a20	0.14280988	0.14272337	0.14267944	0.14267707	0.14269024	0.14369921	0.14272079
a31	0.14289838	0.1426888	0.14258614	0.14258026	0.14260383	0.14397761	0.14266498
</S>	0.14285551	0.14277235	0.14273104	0.14272898	0.1427372	0.14342055	0.14275439
