 	vuole	andare	a	Lecce	</S>
a20	0.24358007	0.19979131	0.14411184	0.24877912	0.16373762
a31	0.3058635	0.09668051	0.04246543	0.49393675	0.061053816
a18	0.2734858	0.16162099	0.06528396	0.4152651	0.084344074
a46	0.25482106	0.07425547	0.03514638	0.57759017	0.05818686
a37	0.13404249	0.0506232	0.036431257	0.71781564	0.061087396
a23	0.10892972	0.059797075	0.046069127	0.7098548	0.07534936
a18	0.13422945	0.09333952	0.08059105	0.547047	0.14479299
a38	0.16332988	0.13416028	0.12537673	0.36511162	0.2120215
a37	0.16206431	0.14994992	0.1491209	0.30103812	0.23782673
a31	0.18083604	0.1765574	0.17664488	0.23999327	0.22596832
a20	0.1927707	0.1916657	0.19187048	0.21413743	0.20955564
</S>	0.19879457	0.19848636	0.19848359	0.2031898	0.20104562
