 	non	aveva	cosa	a	fare	</S>
a31	0.32769358	0.19694799	0.08966573	0.113069065	0.14920421	0.1234194
a18	0.28881255	0.20483376	0.071484655	0.122411534	0.17936745	0.13309002
a24	0.30189002	0.15773094	0.056874644	0.137189	0.19611092	0.15020451
a20	0.29526356	0.14486213	0.10630021	0.15302166	0.15774618	0.14280623
a31	0.2612551	0.16547336	0.1257468	0.15655838	0.15168813	0.1392783
a18	0.20165667	0.13307366	0.10292353	0.1894278	0.1906221	0.18229623
a31	0.13104731	0.1130627	0.102932476	0.20036392	0.21872212	0.23387156
a17	0.1558286	0.13843864	0.13323276	0.15898629	0.17864136	0.23487236
a20	0.16133411	0.1585498	0.1575995	0.16304123	0.16820998	0.19126543
a31	0.16402444	0.16322726	0.16292195	0.16511002	0.16725332	0.17746302
</S>	0.16677015	0.16632509	0.16617194	0.16643387	0.16663422	0.1676647
