 	deve	che	entra	da	qui	</S>
a31	0.11171479	0.33056614	0.14990072	0.25878263	0.04883295	0.10020286
a21	0.08489116	0.53058237	0.098267436	0.2356218	0.01114578	0.039491523
a31	0.075865395	0.46992564	0.13077745	0.2387238	0.015177126	0.06953059
a20	0.057490867	0.67098206	0.06489361	0.16872299	0.0075180763	0.030392407
a11	0.042025253	0.7609063	0.04048125	0.11808081	0.011221842	0.027284736
a31	0.08258671	0.60012877	0.08838274	0.11856679	0.03501333	0.07532166
a37	0.060362566	0.7001069	0.06473654	0.10036853	0.03192754	0.042498063
a31	0.12403021	0.34852868	0.13855685	0.17330036	0.104145035	0.11143892
a8	0.15675391	0.2322737	0.15265834	0.15860328	0.14959548	0.15011524
a31	0.16461144	0.18022986	0.1637954	0.16430524	0.16351256	0.16354547
a46	0.16623875	0.16948871	0.16607194	0.16615754	0.16601853	0.16602452
a31	0.16645554	0.16809782	0.16636248	0.16639675	0.16634306	0.16634433
</S>	0.16659918	0.16709946	0.16657631	0.16658498	0.16656972	0.16657026
