 	stava	ancora	cucinando	</S>
a8	0.21929662	0.28614283	0.33167166	0.1628889
a46	0.13079937	0.22588111	0.5323296	0.11098993
a24	0.11983083	0.26675263	0.456317	0.15709956
a37	0.072534345	0.25231266	0.59427387	0.08087915
a20	0.08436826	0.24079978	0.60257494	0.07225701
a31	0.09540006	0.24392773	0.5673565	0.09331568
a37	0.10188132	0.2376125	0.51809514	0.14241105
a31	0.11220204	0.24110548	0.4481924	0.19850014
a20	0.119265564	0.22103564	0.4537157	0.20598312
a31	0.16151763	0.21041937	0.40689957	0.22116339
a6	0.17613576	0.21292165	0.4070283	0.20391433
a31	0.22571734	0.23636952	0.30064315	0.23726994
a20	0.2307114	0.24381146	0.2926611	0.232816
a46	0.2463905	0.24951845	0.25790715	0.2461839
a31	0.2485091	0.24945165	0.2531664	0.24887286
</S>	0.24893211	0.24982895	0.2523217	0.24891724
