 	ho	messo	uno	specchio	sul	muro	</S>
a8	0.1759287	0.19057652	0.038112406	0.04257826	0.18693662	0.2451197	0.12074772
a31	0.07894721	0.16794972	0.008797876	0.017450968	0.25780612	0.38957903	0.07946897
a17	0.07870706	0.18343064	0.012686226	0.030224036	0.23625444	0.35734406	0.10135356
a11	0.120048344	0.24367256	0.017736364	0.022800287	0.20431332	0.32012513	0.07130394
a31	0.111191094	0.23544018	0.018703748	0.01976076	0.17049861	0.40862918	0.035776407
a20	0.06894885	0.20016892	0.009750615	0.010003533	0.17112662	0.5250969	0.0149045605
a31	0.065916	0.17687982	0.015833024	0.016150352	0.14969432	0.5543974	0.021129096
a37	0.059646867	0.20721507	0.0058006328	0.0075773145	0.21018651	0.49500808	0.014565529
a24	0.030681364	0.10411688	0.011275217	0.01700413	0.13415395	0.6816753	0.021093199
a28	0.05141608	0.10679621	0.030161003	0.047026586	0.14397517	0.5622762	0.05834874
a31	0.061639898	0.106895685	0.046291184	0.073363096	0.14541665	0.48066452	0.08572896
a24	0.044595078	0.07780714	0.026486054	0.03216908	0.1294879	0.64846975	0.040985007
a35	0.086365804	0.10459396	0.07196722	0.07746845	0.15685304	0.41795552	0.08479596
a31	0.1095721	0.11779475	0.103346616	0.1105752	0.18406543	0.25384632	0.12079966
a20	0.12837736	0.13410667	0.12417756	0.12530346	0.15024666	0.210358	0.12743029
</S>	0.14150524	0.14434189	0.13898434	0.13918069	0.14411972	0.1523628	0.13950531
