 	e	che	cucino	</S>
a31	0.50432265	0.34660137	0.07369586	0.07538018
a24	0.69473	0.28306764	0.00980799	0.012394346
a31	0.7188801	0.25445837	0.008906294	0.017755235
a11	0.74974465	0.23807669	0.004094517	0.0080840625
a46	0.82274526	0.16027671	0.0053380816	0.011640027
a41	0.85024834	0.11044491	0.012313406	0.0269933
a20	0.7823735	0.12702943	0.03153408	0.05906296
a36	0.6580846	0.1673768	0.07255907	0.10197959
a31	0.5079841	0.21389233	0.12974966	0.14837389
a46	0.31532103	0.23958926	0.22111213	0.22397757
</S>	0.25879443	0.24803549	0.24649185	0.24667823
