 	è	che	è	entrato	da	qui	</S>
a31	0.2455787	0.2963194	0.20236325	0.04510593	0.11999889	0.042624623	0.04800906
a7	0.2052717	0.38123837	0.23946986	0.018649654	0.1344159	0.009110894	0.0118436385
a18	0.2521845	0.4911501	0.15614213	0.018026067	0.05761209	0.008296833	0.016588252
a31	0.22784635	0.5029265	0.14691229	0.02396854	0.06203623	0.0134446295	0.022865407
a46	0.17887117	0.5466059	0.1438096	0.021678837	0.07001227	0.012453399	0.02656881
a31	0.14497939	0.29614583	0.18444523	0.067992255	0.15348218	0.05560725	0.09734792
a39	0.139381	0.21738079	0.16535836	0.10638964	0.15951419	0.10449486	0.10748116
a28	0.14255188	0.151619	0.14535089	0.13807753	0.14630675	0.13788833	0.13820562
a31	0.14282036	0.14483128	0.14330228	0.141824	0.14357524	0.14178847	0.14185834
</S>	0.14297906	0.14400013	0.14324945	0.1423645	0.14275178	0.14232427	0.14233077
