 	aveva	lavorato	tutta	la	settimana	</S>
a31	0.3099816	0.080160104	0.056960598	0.20540455	0.22305967	0.12443352
a20	0.5533596	0.048865188	0.022656115	0.13589929	0.17246784	0.066752
a31	0.35637316	0.10005781	0.035265513	0.18191002	0.18740554	0.13898796
a28	0.64193875	0.03878637	0.015108225	0.1236454	0.11613439	0.0643869
a31	0.70371336	0.021763053	0.010825743	0.11691554	0.108898945	0.037883427
a13	0.72777903	0.01420336	0.0093486775	0.11680116	0.10957223	0.022295525
a18	0.80770606	0.013281175	0.010008764	0.07237191	0.08206585	0.014566249
a31	0.7996622	0.026476335	0.01750165	0.058323465	0.074680306	0.023356022
a27	0.74669474	0.03421552	0.02908974	0.058494132	0.09851287	0.032993022
a31	0.5163415	0.085428864	0.08244537	0.100946836	0.13224573	0.08259163
a20	0.29096875	0.13669515	0.13544096	0.14144988	0.15945268	0.13599256
a31	0.26164445	0.14660116	0.14646977	0.14908354	0.1500176	0.14618343
a39	0.20001514	0.15978584	0.15969282	0.16002029	0.16078524	0.1597007
a31	0.19819428	0.16028123	0.16025707	0.16050777	0.16053899	0.16022068
a33	0.17461832	0.16505705	0.1650447	0.16508429	0.16515158	0.16504404
</S>	0.17633907	0.16471295	0.16471043	0.16476932	0.16476561	0.16470267
