 	l	ho	sentito	che	viene	</S>
a34	0.32036072	0.20326374	0.19263925	0.1148079	0.12150873	0.04741965
a46	0.22841407	0.1307515	0.1597226	0.12577076	0.22160137	0.13373972
a41	0.5348069	0.18772964	0.15814747	0.055075068	0.050333638	0.01390733
a19	0.5150317	0.1972063	0.1654997	0.056248363	0.05244822	0.013565685
a31	0.55803174	0.14736557	0.13895631	0.062011335	0.061703455	0.031931486
a20	0.3992916	0.15227307	0.15546629	0.10505775	0.10279474	0.0851165
a31	0.23848303	0.15954483	0.16710582	0.14585885	0.14926378	0.13974372
a24	0.1498733	0.14191912	0.17340872	0.16277762	0.19767588	0.17434534
a31	0.12943642	0.13008603	0.15964256	0.1520314	0.25509468	0.17370896
a23	0.14056453	0.14077614	0.15132625	0.14816749	0.2605075	0.15865806
a20	0.15511353	0.15519649	0.15842499	0.15741153	0.21349709	0.1603564
</S>	0.16072817	0.1606301	0.16212887	0.16160537	0.19183801	0.16306956
