 	se	nella	nella	pasta	voleva	sale	l	avevo	messo	</S>
a31	0.09252044	0.09864874	0.09922182	0.096897595	0.10273476	0.10154827	0.10297072	0.1035019	0.10538173	0.096573986
a39	0.03991049	0.039790105	0.040557873	0.034875296	0.0589139	0.04702585	0.087560266	0.15902327	0.40450498	0.087837964
a31	0.03690399	0.03789991	0.039971415	0.038965847	0.061915167	0.046875376	0.07204131	0.14660493	0.4238084	0.09501368
a14	0.03715638	0.03701575	0.037179504	0.0331549	0.061580278	0.04696905	0.08655545	0.14943342	0.40978593	0.10116935
a41	0.04257126	0.041847885	0.04068265	0.034923557	0.051250268	0.044785768	0.080934964	0.14685692	0.42861652	0.08753027
a33	0.035025783	0.03593816	0.03774858	0.038470525	0.067563064	0.045066573	0.069598906	0.14668009	0.42340884	0.10049951
a20	0.031435363	0.03393499	0.039436653	0.04417491	0.07519661	0.050661698	0.0733734	0.15652771	0.38872623	0.10653246
a31	0.030056935	0.03261567	0.037293	0.040651176	0.07199842	0.046963476	0.07118575	0.15995853	0.40792876	0.10134824
a10	0.027863044	0.03296209	0.038196426	0.033414464	0.088386066	0.055314425	0.10674218	0.17690149	0.33577043	0.10444935
a31	0.025687197	0.037003648	0.044665866	0.03622281	0.09454238	0.06433897	0.11388873	0.16938736	0.32882315	0.08543994
a46	0.018097447	0.030804826	0.03961522	0.032004103	0.10286991	0.06584934	0.12686262	0.18364657	0.32500848	0.07524143
a31	0.018176455	0.030669244	0.039322894	0.032057695	0.102954835	0.06551537	0.12620543	0.18311965	0.32484415	0.077134304
a39	0.016718453	0.029555373	0.037098132	0.027727962	0.10204423	0.060065567	0.12370569	0.18250836	0.35892916	0.06164707
a28	0.017080436	0.03017496	0.03768732	0.027260032	0.09963145	0.05993927	0.120596595	0.17697333	0.37391922	0.056737367
a21	0.012587052	0.022727843	0.029571367	0.021073943	0.10006693	0.051109266	0.12439423	0.19096327	0.39924422	0.04826193
a24	0.00965638	0.016879318	0.022886483	0.018514182	0.09740187	0.039652783	0.1215846	0.23075828	0.39265975	0.05000628
a46	0.0129864095	0.023948759	0.032253005	0.026740931	0.082267016	0.041945867	0.10173084	0.23052977	0.39776263	0.049834758
a20	0.016793119	0.029565524	0.04002569	0.035927966	0.08625181	0.051110312	0.09149083	0.19274218	0.40028983	0.05580282
a31	0.011457226	0.021389373	0.029937278	0.02447064	0.08546239	0.04059711	0.08820646	0.19930841	0.4649587	0.034212496
a14	0.011946872	0.020943502	0.027911037	0.02410865	0.095970675	0.04400017	0.099156566	0.21914579	0.39779893	0.059017822
a17	0.011014962	0.018577835	0.022414783	0.016204573	0.0914756	0.032741047	0.09780384	0.20505731	0.46384588	0.04086426
a31	0.009514096	0.013766613	0.01628686	0.012864408	0.07262621	0.021073245	0.06870759	0.18404555	0.5730358	0.028079651
a11	0.010822107	0.01793693	0.021401398	0.015127966	0.083583504	0.030842151	0.08974006	0.19515193	0.49987486	0.035519112
a18	0.011358845	0.015520785	0.017085154	0.012885544	0.061035767	0.01979472	0.063746184	0.1640696	0.6076313	0.02687201
a6	0.0115862535	0.014728141	0.016393455	0.013704947	0.058656882	0.018692994	0.04999836	0.13644601	0.6547523	0.025040673
a8	0.014218798	0.01816906	0.020916339	0.018653918	0.0713988	0.025648147	0.054647744	0.11485766	0.63519824	0.02629135
a31	0.019716509	0.029947707	0.034957748	0.028297022	0.110067755	0.04602485	0.08279153	0.124838606	0.49182808	0.03153024
a24	0.015242168	0.020214451	0.022474002	0.018622126	0.069391206	0.027651988	0.06305816	0.12184462	0.61449784	0.027003426
a37	0.026663486	0.034767687	0.038607247	0.032361083	0.103376634	0.046052504	0.08511526	0.117636845	0.4814596	0.033959683
a38	0.028080272	0.031639323	0.033535164	0.03125475	0.07669066	0.03735806	0.06134296	0.093966335	0.56789654	0.038235925
a31	0.04137884	0.044296406	0.045880076	0.044168252	0.084180206	0.048945993	0.06739687	0.09122129	0.48085326	0.05167881
a11	0.028483672	0.032075785	0.033535164	0.030520169	0.06372283	0.03648283	0.06407384	0.104677066	0.5692148	0.037213795
a31	0.059450924	0.061534945	0.06230002	0.06057224	0.08437742	0.06344106	0.07581945	0.09291947	0.37429798	0.06528652
a8	0.034298275	0.037468344	0.038628206	0.0357475	0.06118279	0.04094975	0.068294965	0.11195974	0.5267587	0.044711802
a10	0.07176714	0.07392477	0.07458092	0.07254281	0.087768935	0.07521192	0.08750492	0.10120359	0.2813458	0.07414913
a18	0.06926844	0.07036982	0.07026672	0.068619	0.07795352	0.06963265	0.077977784	0.10088176	0.32010052	0.074929714
a31	0.073952764	0.075117156	0.07527779	0.07399646	0.089520894	0.07521048	0.081469424	0.09526123	0.28161642	0.07857731
a11	0.05884686	0.060914487	0.061681096	0.059829302	0.07615161	0.06328252	0.08031103	0.105938025	0.36747372	0.06557136
a10	0.088024	0.08867055	0.088638894	0.08774557	0.0932714	0.08830897	0.092050634	0.099982984	0.1836799	0.089627095
a1	0.077023424	0.077906765	0.07739348	0.07547602	0.0837175	0.07560575	0.08087729	0.10048321	0.27103674	0.0804798
a41	0.08346312	0.08434402	0.08465936	0.08391408	0.09487251	0.08529572	0.09061024	0.09876699	0.20758472	0.08648927
a31	0.08060363	0.082141556	0.08297333	0.08189471	0.09741945	0.08486492	0.0954902	0.10334389	0.20806652	0.083201714
a8	0.08483995	0.08597864	0.086452246	0.08549182	0.09440166	0.08748869	0.09570719	0.103127725	0.19018935	0.08632274
a31	0.097887225	0.09809608	0.09817343	0.097989894	0.09960417	0.09828351	0.09950759	0.10050544	0.11184698	0.09810573
a37	0.09569967	0.095952585	0.09603675	0.09579752	0.0975313	0.09616828	0.097996555	0.10069861	0.12764986	0.09646883
a8	0.09873552	0.098815545	0.09880209	0.0986817	0.09932479	0.09873597	0.09916075	0.10010801	0.10874517	0.09889045
a39	0.09912413	0.09920577	0.09923106	0.09915451	0.099758275	0.09926011	0.09972778	0.10019565	0.105122	0.099220686
a31	0.09897903	0.09903023	0.09902651	0.09896393	0.09981488	0.09900116	0.09922594	0.099882975	0.106818534	0.09925683
