 	ho	cosa	a	fare	</S>
a23	0.43417978	0.17220446	0.13078164	0.13525051	0.12758356
a17	0.40051064	0.10615487	0.14139616	0.18314686	0.16879144
a31	0.3631804	0.12636401	0.15968479	0.18910317	0.16166756
a8	0.39273244	0.10774173	0.1496312	0.181362	0.1685325
a31	0.3691852	0.112206675	0.1734879	0.18362872	0.16149148
a13	0.2879259	0.116018176	0.20042579	0.20889004	0.18674007
a24	0.23934	0.12605269	0.20730503	0.21611209	0.2111902
a31	0.17877112	0.1206156	0.19404788	0.23584142	0.270724
a13	0.1599305	0.14693214	0.17025675	0.20539545	0.31748518
a31	0.17862004	0.175567	0.18124531	0.19225581	0.2723119
a18	0.1965491	0.19445382	0.19551848	0.19734386	0.21613479
a0	0.19955385	0.19932625	0.19945031	0.19966342	0.20200612
a39	0.19983289	0.19979131	0.19982909	0.199898	0.20064865
</S>	0.19987318	0.19985057	0.19987817	0.19992812	0.20046993
