 	il	dito	si	gonfiò	</S>
a39	0.4363362	0.08370823	0.26833257	0.107994944	0.103628084
a13	0.42480585	0.019826999	0.3622703	0.111050524	0.08204626
a31	0.3522015	0.036385134	0.38776633	0.11867623	0.10497071
a20	0.41675335	0.034184054	0.36385307	0.09971673	0.08549279
a31	0.53980345	0.046442214	0.2371411	0.093467034	0.08314616
a11	0.5907293	0.033410337	0.22408696	0.08739798	0.06437541
a31	0.55354255	0.054901868	0.19672614	0.1044426	0.090386845
a39	0.51546514	0.03837613	0.22779451	0.11765531	0.100708835
a31	0.26239792	0.09681275	0.24943338	0.18510823	0.20624769
a41	0.34351692	0.122241855	0.22574215	0.15902811	0.14947096
a46	0.23242246	0.17957495	0.21233627	0.18979731	0.185869
a31	0.20468803	0.197455	0.19968936	0.19850856	0.19965908
</S>	0.20195982	0.1988263	0.20066422	0.19940855	0.19914116
