 	non	ho	dove	d	andare	</S>
a20	0.23752022	0.18532175	0.25720838	0.052448194	0.17631532	0.09118616
a31	0.16196555	0.14547496	0.4577181	0.010729367	0.17923942	0.04487271
a37	0.13388728	0.13844872	0.38837615	0.019420965	0.20856723	0.11129967
a31	0.19108771	0.15885463	0.36528018	0.029322373	0.17984885	0.075606175
a29	0.16338737	0.11295295	0.5594176	0.015239585	0.11659289	0.03240963
a41	0.2168155	0.12716596	0.4805994	0.029485302	0.10316643	0.042767443
a31	0.23385948	0.12829731	0.43168965	0.04879055	0.10083229	0.05653072
a18	0.15884471	0.10225394	0.5547315	0.04050059	0.09145624	0.052213073
a31	0.14442173	0.13711011	0.3438286	0.09110968	0.15571389	0.127816
a39	0.13730724	0.109554	0.4250625	0.073157154	0.16012645	0.094792716
a31	0.16601396	0.1548234	0.23981541	0.12874918	0.17359841	0.13699962
a8	0.17205723	0.16343203	0.20240743	0.14998874	0.16058238	0.1515322
a31	0.16959861	0.16654544	0.17570665	0.16212611	0.16370296	0.16232023
a8	0.16746183	0.16661486	0.16930775	0.16538605	0.16579688	0.16543266
</S>	0.16710053	0.16666986	0.16794126	0.16604978	0.16617887	0.16605967
