 	le	melanzane	vogliono	ee	girate	</S>
a31	0.15943299	0.1606747	0.175137	0.17531422	0.1755577	0.15388334
a20	0.11315154	0.1170862	0.21494995	0.16036442	0.30277264	0.09167532
a18	0.12250744	0.12814827	0.19073161	0.14353979	0.2642296	0.1508433
a20	0.101018794	0.10695452	0.16995531	0.2018506	0.23134913	0.1888717
a38	0.09721311	0.10283763	0.17013763	0.2179328	0.22729036	0.18458852
a17	0.09058972	0.09508673	0.16405052	0.24513946	0.21928304	0.18585053
a31	0.08403447	0.08882181	0.17044245	0.26037008	0.22735266	0.1689786
a20	0.0538298	0.058857594	0.19850475	0.27262622	0.31548497	0.10069669
a41	0.040193122	0.043907754	0.21101762	0.30994466	0.30963314	0.085303776
a29	0.0372006	0.042069644	0.22313836	0.3098245	0.30754337	0.080223516
a11	0.04106442	0.045766335	0.21943976	0.31379908	0.2899676	0.08996276
a31	0.04459114	0.04950253	0.20872335	0.311514	0.28629938	0.099369556
a8	0.0433965	0.048238266	0.19947977	0.3116825	0.29675648	0.10044649
a31	0.061117563	0.06407763	0.1818959	0.30739924	0.24738142	0.13812824
a1	0.058108974	0.06117536	0.17681324	0.3038753	0.26585194	0.1341752
a31	0.08246591	0.084241435	0.16561392	0.28759304	0.20911098	0.1709747
a3	0.07039811	0.072468065	0.16840622	0.29763985	0.24582464	0.14526317
a31	0.1092211	0.1101253	0.15412277	0.25327	0.18720257	0.18605824
a8	0.08576476	0.08813938	0.17726965	0.27586734	0.24470975	0.12824911
a23	0.13594376	0.13637647	0.1601815	0.22134736	0.17679292	0.16935799
a31	0.14704603	0.14721408	0.15693538	0.20596248	0.16717385	0.17566815
a46	0.14293367	0.14354338	0.1651887	0.20601092	0.18123664	0.16108665
a37	0.1578412	0.15793373	0.16313228	0.18578403	0.16660291	0.16870585
a46	0.16047214	0.16052589	0.16325434	0.18108554	0.16582249	0.16883957
a24	0.16269311	0.16272458	0.16428362	0.17643559	0.16561674	0.16824633
a31	0.16378194	0.1638149	0.16549881	0.17328757	0.16601677	0.16759999
a46	0.163012	0.16304061	0.16423914	0.17607595	0.16525118	0.16838112
a31	0.16575618	0.16576368	0.16615951	0.16894543	0.16639116	0.16698407
a8	0.16594256	0.16594985	0.16627127	0.16846271	0.16651236	0.16686122
a24	0.16639414	0.1663964	0.16652985	0.16733195	0.16661124	0.16673645
a8	0.16642992	0.16643287	0.16657859	0.16721082	0.16662593	0.16672188
a31	0.16644366	0.16644534	0.16653277	0.16723976	0.1665936	0.16674483
</S>	0.16648753	0.16648912	0.16656166	0.16712283	0.16661857	0.16672033
