 	ho	scritto	una	lettera	al	mio	fratello	</S>
a46	0.19787766	0.16443995	0.06418087	0.04093875	0.08202048	0.14661199	0.2064579	0.097472385
a31	0.06471855	0.062453046	0.021011412	0.008184018	0.06052606	0.26865622	0.4423247	0.07212592
a13	0.05960802	0.057404567	0.01613054	0.006297319	0.052226953	0.27879298	0.47194058	0.057599075
a20	0.092547975	0.056538884	0.02386863	0.015127484	0.063931465	0.21014501	0.50217545	0.035665154
a15	0.08399202	0.059686165	0.03294753	0.019066172	0.08518876	0.23100498	0.4435567	0.044557713
a20	0.08324913	0.052537326	0.025665816	0.015760297	0.069419116	0.23148362	0.4823742	0.039510496
a31	0.09003945	0.056590404	0.0276331	0.019749166	0.07558062	0.21099445	0.4716672	0.047745593
a39	0.06072689	0.03782029	0.020329125	0.015925014	0.0652781	0.23333725	0.5155516	0.051031608
a31	0.07037044	0.055309735	0.040005207	0.03497873	0.09674725	0.21842311	0.39119533	0.09297014
a20	0.042771865	0.028265312	0.019324169	0.016650379	0.052357662	0.26433724	0.5205957	0.055697527
a31	0.058954097	0.04924283	0.04132592	0.038516164	0.071346514	0.23678993	0.42237818	0.0814464
a7	0.060627893	0.05190238	0.04633368	0.04439195	0.06738329	0.22348393	0.4277053	0.07817152
a46	0.08321893	0.07718132	0.07263493	0.070457354	0.09208284	0.18641198	0.32969183	0.08832081
a39	0.10048179	0.09781133	0.09597347	0.095466286	0.10285266	0.15651965	0.2352295	0.11566536
a31	0.11040416	0.10961947	0.10901089	0.10881997	0.112246804	0.14157625	0.18796264	0.120359816
a46	0.120719135	0.120256506	0.1200032	0.11993011	0.12094984	0.12910023	0.146505	0.122535996
a0	0.12362135	0.123388395	0.123254605	0.12321596	0.123672545	0.12648897	0.13236772	0.12399048
a27	0.12358051	0.12348972	0.123416044	0.12339445	0.12370245	0.12631115	0.13189602	0.124209635
a20	0.12194521	0.12184038	0.12174412	0.12171394	0.122261204	0.12773512	0.13917552	0.12358452
a0	0.121361636	0.12126268	0.12116792	0.12113724	0.12175219	0.12823412	0.1416602	0.123424076
a14	0.11772216	0.11761347	0.117491364	0.11745289	0.118561134	0.13183714	0.1567028	0.122619
a0	0.11872382	0.11859839	0.1184655	0.11841525	0.11950463	0.13085307	0.15277839	0.12266095
a46	0.117387325	0.11727787	0.11715444	0.11711642	0.11824296	0.1320488	0.1581656	0.1226066
a20	0.12258174	0.12256334	0.12254176	0.12253347	0.122816876	0.12677112	0.1360796	0.12411205
</S>	0.11933288	0.11929302	0.11923656	0.119214915	0.11994531	0.12965569	0.15015902	0.12316259
