 	vuole	vuole	mangiato	caldo	</S>
a37	0.39243758	0.31629625	0.10497579	0.09209773	0.094192654
a31	0.44528446	0.39036658	0.0646412	0.033651147	0.06605655
a41	0.4101693	0.41981784	0.064129785	0.036580503	0.06930255
a31	0.3701117	0.27807927	0.11910611	0.09757969	0.13512322
a11	0.38438386	0.34792253	0.11359758	0.061484087	0.092611894
a20	0.32723406	0.3130223	0.13799632	0.09730645	0.12444088
a31	0.25233835	0.257504	0.16358252	0.13238825	0.19418693
a18	0.24658734	0.2319165	0.1512762	0.13475728	0.2354627
a31	0.21039517	0.20481835	0.1860574	0.18256892	0.21616012
a20	0.20710436	0.20411772	0.19616282	0.19501965	0.19759548
a21	0.20242539	0.20156431	0.19887824	0.19849692	0.19863516
</S>	0.20045774	0.20022559	0.19978233	0.19973622	0.19979806
