 	ha	che	sono	usciti	</S>
è	0.82570065	0.154570543	0.01635130825	0.002770105035	0.00060739447
n	0.6169936	0.357285947667	0.02142244375	0.002865766445	0.00143222345667
a	0.339282214333	0.518606549222	0.0540346179167	0.068580023915	0.0194966034856
g	0.125565426511	0.606578916407	0.152355265972	0.090642467005	0.0248579176285
u	0.042920777647	0.454325150802	0.217287385324	0.270674831368	0.0147918133428
ì	0.0145785596123	0.166678224934	0.297058718441	0.350260239456	0.171424242114
k	0.00500549850743	0.0607562683113	0.286640140814	0.401239388819	0.246358710705
a	0.00660936148581	0.0245974397704	0.153274374938	0.473247816273	0.342271013568
n	0.00738220779527	0.0108809043568	0.171799188313	0.341864712091	0.468072984523
e	0.0518771675651	0.0055764446856	0.164270613104	0.271331450697	0.506944321508
</S>	0.0996147587825	0.0041266800428	0.092777807052	0.207942645348	0.595538110754
